accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.76,1.54,4.82,-3.28,-1.6
-0.59,-0.79,1.53,0.43,-7.92,1.39
-0.56,-0.77,1.51,-0.79,-10.12,-0.69
-0.57,-0.77,1.48,0.24,-10.73,-3.62
-0.52,-0.8,1.49,-3.97,-1.64,-8.01
-0.64,-0.77,1.49,7.2,10.08,-6.0
-0.6,-0.81,1.41,10.99,21.86,-31.21
-0.61,-0.73,1.49,-0.91,-5.11,-1.05
-0.61,-0.67,1.41,3.85,15.39,-23.09
-0.68,-0.63,1.37,55.6,7.09,-0.93
-0.68,-0.77,1.6,25.76,29.0,-36.27
-0.7,-0.57,1.33,-7.81,19.73,-45.98
-0.64,-0.61,1.5,-38.21,-44.54,36.6
-0.7,-0.73,1.41,-12.27,-44.85,64.86
-0.59,-0.81,1.35,7.81,13.87,12.31
-0.6,-0.35,2.14,-2.01,12.04,-0.02
-0.61,-0.74,1.5,1.47,-8.11,5.97
-0.61,-0.77,1.53,-57.98,-1.39,-68.86
-0.7,-0.71,1.38,-23.44,11.36,-38.96
-0.69,-0.74,1.56,-8.12,15.51,-8.62
-0.57,-0.73,1.41,81.79,-46.92,86.59
-0.71,-0.82,1.58,-11.05,-60.47,38.13
-0.61,-0.82,1.44,-16.78,-44.79,18.54
-0.57,-0.81,1.41,-4.09,-16.96,-3.25
-0.54,-0.77,1.47,0.79,10.51,-5.33
-0.55,-0.76,1.52,9.77,2.7,4.74
