accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.79,1.59,2.05,-9.97,5.28
-0.58,-0.87,1.63,-3.26,5.05,-4.79
-0.58,-0.82,1.61,-7.41,15.61,-21.82
-0.6,-0.77,1.63,0.22,-1.36,-3.69
-0.54,-0.75,1.6,-5.71,14.39,2.72
-0.65,-0.74,1.72,38.12,-12.29,-15.96
-0.54,-0.79,1.68,24.69,-40.36,-12.3
-0.49,-0.8,1.63,-25.05,-19.3,-8.33
-0.53,-0.76,1.54,-34.39,5.96,12.48
-0.57,-0.73,1.59,-0.46,-4.47,1.8
-0.55,-0.75,1.62,-13.09,38.37,1.86
-0.56,-0.77,1.62,51.12,-38.71,-12.91
-0.52,-0.79,1.64,25.73,-25.23,-6.56
-0.47,-0.69,1.54,22.92,-18.51,-1.98
-0.71,-0.74,1.63,-7.78,-109.82,113.86
-0.59,-0.98,1.36,-18.22,-58.61,41.35
-0.55,-0.95,1.2,-26.27,6.15,-54.6
-0.36,-0.54,1.63,1.37,23.24,-38.73
-0.46,-0.79,1.45,9.49,-18.63,-2.23
-0.52,-0.79,1.48,2.29,7.55,-17.24
-0.5,-0.71,1.51,1.62,3.22,-7.48
-0.51,-0.78,1.48,1.13,1.2,-6.01
-0.53,-0.76,1.47,-5.28,12.01,-16.69
-0.51,-0.68,1.53,1.31,4.56,-7.23
-0.52,-0.73,1.51,3.63,-5.82,6.5
