accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.63,-0.79,1.75,-13.34,-18.14,6.13
-0.65,-0.76,1.97,-95.43,53.4,24.99
-0.49,-0.92,2.06,-115.94,96.3,16.21
-0.65,-0.95,1.72,-70.4,-53.78,-9.55
-0.71,-0.55,1.45,19.32,94.17,-49.83
-0.96,-0.99,2.1,87.07,-46.33,-57.1
-0.54,-0.78,2.11,-64.36,-102.12,-43.3
-0.66,-0.86,2.19,22.0,-45.91,3.39
-0.71,-0.86,1.9,35.8,-11.42,0.15
-0.37,-0.86,2.45,24.38,-11.06,-17.91
-0.7,-0.82,2.03,-18.22,-7.21,-0.7
-0.82,-0.76,1.98,-10.71,-14.17,7.72
-0.73,-0.8,1.93,-0.15,-41.33,0.52
-1.34,-0.35,1.91,-4.79,-0.99,-17.61
-0.71,-0.86,1.97,10.83,-17.04,-28.35
-1.07,-0.5,1.93,2.78,-7.03,-12.18
-0.76,-0.79,1.93,11.63,-32.17,-1.68
-0.69,-0.8,1.92,-72.3,-21.74,12.48
-0.76,-0.75,1.92,-7.11,-20.7,-1.8
-0.75,-0.81,1.98,12.79,-8.13,9.06
-0.57,-0.56,2.35,32.62,-40.84,43.3
-0.76,-0.88,1.88,3.08,-53.41,36.71
-0.7,-0.91,1.75,-4.0,-25.95,2.29
-0.65,-0.82,1.9,0.7,-14.78,-0.46
-0.67,-0.87,1.86,3.88,-9.23,3.57
-0.67,-0.84,1.89,2.9,-10.69,-2.59
