accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.74,-0.52,1.48,-38.57,-4.61,2.62
-0.82,-0.48,1.53,-2.2,-13.34,15.32
-0.85,-0.63,1.48,-11.96,-7.05,9.22
-0.73,-0.5,1.63,-17.64,14.19,-15.93
-0.88,-0.5,1.58,-5.61,0.64,-3.11
-0.92,-0.42,1.53,4.4,9.73,-20.26
-0.76,-0.58,1.64,30.76,-1.01,-27.71
-0.78,-0.62,1.62,14.53,-14.99,-5.68
-0.74,-0.7,1.89,-58.1,-25.12,10.74
-0.87,-0.46,1.48,-42.17,-10.53,8.18
-0.82,-0.54,1.6,-1.77,8.51,6.16
-0.88,-0.51,1.61,9.71,2.9,-29.79
-0.83,-0.56,1.63,15.02,2.65,-25.76
-0.81,-0.57,1.61,7.2,-7.6,-8.67
-0.74,-0.76,2.01,-40.28,-17.86,5.68
-0.93,-0.44,1.52,-49.31,-19.02,13.24
-0.87,-0.52,1.66,12.51,-13.95,-0.67
-0.82,-0.51,1.67,26.31,-1.38,4.58
-0.86,-0.57,1.62,30.4,-81.27,54.69
-0.9,-0.79,1.45,8.24,-40.5,13.24
-0.77,-0.57,1.54,-10.86,3.38,-16.85
