accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.72,-0.6,1.81,-0.03,-9.73,2.51
-0.72,-0.6,1.82,5.41,-18.46,6.41
-0.73,-0.63,1.81,-3.14,-14.74,-2.25
-0.72,-0.59,1.82,-4.79,-3.93,-1.34
-0.81,-0.7,1.8,-23.65,5.28,-15.5
-0.18,-0.26,2.34,-36.95,-12.17,3.3
-0.77,-0.58,1.9,-3.75,-10.22,7.63
-0.75,-0.58,1.93,-25.54,33.42,-1.1
-0.83,-0.62,2.13,88.84,-25.66,7.21
-0.77,-0.65,2.05,57.16,-17.36,6.9
-0.66,-0.56,1.74,-69.85,-29.51,12.15
-0.84,-0.66,1.72,-23.4,-14.37,18.44
-0.84,-0.52,1.88,-20.17,3.09,16.61
-0.77,-0.6,1.93,-0.03,7.48,16.61
-0.84,-0.58,1.95,1.62,1.68,-29.29
-0.77,-0.77,1.94,-1.49,14.13,-22.52
-0.81,-0.6,1.98,7.91,-9.79,8.0
-0.83,-0.56,1.97,35.8,-38.11,12.94
-0.87,-0.53,1.99,18.77,-130.46,91.31
-0.85,-0.79,1.67,28.11,-114.77,63.11
-0.72,-0.75,1.6,-6.44,4.37,-3.96
-0.64,-0.53,1.89,4.55,4.74,3.6
