accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.76,1.63,0.57,-4.0,-2.85
-0.61,-0.75,1.63,-1.02,-1.93,-3.46
-0.63,-0.76,1.65,-8.96,0.76,-12.93
-0.6,-0.73,1.61,-6.51,7.29,-13.47
-0.59,-0.74,1.61,-0.9,19.86,-5.54
-0.67,-0.77,1.79,2.95,1.25,-4.75
-0.53,-0.61,1.65,5.26,20.54,-32.09
-0.65,-0.72,1.67,2.88,-15.78,1.6
-0.79,-0.64,1.6,-9.32,12.36,3.43
-0.58,-0.7,1.68,6.67,17.36,-40.45
-0.67,-0.81,1.7,7.16,17.48,-26.84
-0.66,-0.73,1.7,20.04,-4.12,-7.74
-0.61,-0.8,1.8,-25.8,-74.5,34.44
-0.71,-0.76,1.45,-15.3,-13.4,-1.45
-0.67,-0.63,1.64,-22.2,1.43,-5.72
-0.66,-0.7,1.67,-17.26,27.55,5.57
-0.75,-0.69,1.6,14.36,42.02,-26.9
-0.7,-0.71,1.83,59.95,-19.69,-29.34
-0.83,-0.63,1.49,20.77,11.32,-14.7
-0.74,-0.66,1.63,9.78,-6.5,-0.9
-0.6,-0.35,2.09,-5.97,-35.01,67.21
-0.83,-0.72,1.52,-16.1,-66.2,85.46
-0.67,-0.9,1.35,-4.26,-42.76,37.49
-0.66,-0.86,1.41,-10.3,36.28,-19.4
-0.54,-0.61,1.71,-9.2,44.16,-24.4
-0.61,-0.73,1.57,3.74,-12.12,6.06
