accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.81,1.82,0.12,-4.11,0.11
-0.61,-0.82,1.79,-1.53,1.14,-1.85
-0.61,-0.82,1.83,-3.05,3.58,-2.21
-0.64,-0.8,1.81,-7.45,6.02,-6.73
-0.37,-0.65,1.95,-6.1,10.72,-9.6
-0.63,-0.81,1.9,-6.53,17.8,2.85
-0.68,-0.77,1.99,-7.99,18.9,1.57
-0.62,-0.81,1.89,2.08,-3.38,4.13
-0.75,-0.72,2.09,-8.48,-36.46,-23.09
-0.55,-0.81,1.76,-34.55,-38.53,-28.52
-0.62,-0.79,1.87,-15.38,28.79,-3.07
-0.61,-0.74,1.43,32.59,35.38,-1.11
-0.69,-0.83,2.26,38.82,9.5,4.99
-0.68,-0.8,1.93,9.46,-12.04,2.06
-0.74,-0.69,2.08,9.28,-70.7,-19.79
-0.48,-0.95,1.66,-30.21,-4.84,-16.43
-0.66,-0.77,1.85,-6.77,5.84,-2.34
-0.66,-0.78,1.87,-1.65,10.23,1.82
-0.66,-0.79,1.9,12.33,7.92,5.72
-0.48,-0.57,1.86,-36.5,-81.93,102.03
-0.69,-0.93,1.87,-14.04,-78.63,72.25
-0.67,-1.02,1.52,-25.51,-19.0,4.26
-0.51,-0.82,1.82,-9.7,4.74,-18.33
