accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.28,-0.77,1.79,-6.78,-15.79,7.43
0.25,-0.71,1.83,-10.38,-13.47,7.13
0.29,-0.69,1.84,-7.76,-15.18,5.85
0.21,-0.69,1.81,-8.67,-21.4,7.07
0.33,-0.74,1.78,-6.78,-24.52,11.16
0.26,-0.72,1.79,4.14,-16.34,5.97
0.27,-0.71,1.77,-20.88,-22.14,-16.0
0.24,-0.63,1.75,-23.75,-9.81,-19.12
0.14,-0.81,1.8,-14.23,-35.75,3.22
0.36,-0.58,1.91,-7.64,-34.41,-8.01
0.22,-0.63,1.66,-9.96,-34.34,-1.78
0.27,-0.58,1.69,-3.12,5.08,1.45
0.15,-0.63,1.75,10.49,-31.54,38.07
0.08,-0.74,1.8,-9.53,-46.19,68.53
0.3,-0.67,1.82,-4.46,-46.55,75.79
0.18,-0.79,1.83,-11.06,-19.39,30.99
0.05,-0.81,1.78,-16.73,-18.17,26.29
0.32,-0.64,1.76,-16.18,-8.65,-2.94
0.33,-0.64,1.77,-14.9,-38.37,7.43
0.32,-0.64,1.78,-10.26,-61.14,14.94
0.45,-0.56,1.76,35.51,-29.22,-112.13
0.79,-0.49,1.96,13.54,-49.73,-61.6
0.79,-0.35,1.86,2.19,-63.95,-22.29
0.36,-0.62,1.75,-12.58,-40.08,7.74
0.33,-0.64,1.76,-16.06,-11.33,0.54
0.33,-0.63,1.76,-11.36,-1.75,13.66
-0.28,-0.38,2.25,-57.44,-17.68,68.84
0.41,-0.72,1.68,-53.11,-73.04,12.93
0.46,-0.77,1.8,-23.38,22.97,-3.06
0.25,-0.67,1.78,0.11,24.31,3.1
