accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.51,0.38,-0.0,26.02,246.44,35.54
2.49,0.36,-0.01,27.79,256.7,32.73
2.5,0.37,-0.01,33.34,250.59,26.57
2.49,0.39,-0.01,32.67,255.54,28.58
2.45,0.4,0.02,28.95,256.94,31.39
2.5,0.35,-0.03,25.96,249.62,33.53
2.46,0.42,0.0,27.6,258.65,32.12
2.51,0.36,-0.02,26.32,249.92,31.39
2.47,0.39,-0.02,29.92,261.03,27.42
2.43,0.4,0.01,28.76,256.15,30.96
2.46,0.36,-0.03,32.55,248.03,30.48
2.44,0.41,-0.02,33.28,253.22,28.28
2.44,0.36,-0.02,28.95,255.05,25.84
2.43,0.42,-0.01,33.16,262.19,22.78
2.45,0.39,-0.05,31.27,251.88,22.3
2.41,0.42,-0.02,32.91,260.24,22.3
2.4,0.41,-0.02,29.8,256.39,25.65
2.41,0.4,-0.02,33.58,256.64,22.11
2.37,0.44,-0.02,31.33,260.66,25.71
2.38,0.41,-0.03,27.42,239.61,34.69
2.39,0.4,-0.02,27.48,239.36,30.9
2.39,0.41,-0.03,22.54,258.22,35.79
2.38,0.45,-0.06,24.49,255.78,36.76
2.4,0.41,-0.04,24.37,259.63,45.37
2.32,0.41,-0.02,25.28,261.15,36.76
2.46,0.46,-0.06,30.78,252.97,53.0
2.46,0.46,-0.07,36.09,255.29,58.19
2.47,0.45,-0.07,42.31,251.2,59.77
2.43,0.45,-0.1,42.01,244.98,51.29
2.39,0.4,-0.03,34.2,253.4,46.65
2.48,0.46,-0.08,40.91,237.9,44.03
2.45,0.44,-0.05,45.55,216.23,41.4
2.48,0.45,-0.08,46.22,207.69,38.04
2.52,0.44,-0.07,44.94,210.74,30.9
2.49,0.44,-0.08,20.04,245.41,17.47
2.53,0.46,-0.1,15.09,256.09,25.47
2.52,0.45,-0.08,16.5,262.07,24.55
2.47,0.45,-0.09,0.81,286.85,15.77
2.46,0.4,-0.03,11.49,269.88,23.58
2.45,0.44,-0.06,17.11,262.56,29.8
2.44,0.43,-0.05,18.33,265.24,26.08
2.44,0.44,-0.06,25.04,249.98,36.15
2.43,0.42,-0.05,19.61,259.69,30.66
2.4,0.47,-0.08,35.17,237.41,31.57
2.42,0.42,-0.07,42.74,228.62,36.03
2.44,0.43,-0.07,50.67,219.65,30.17
2.45,0.47,-0.09,45.12,223.07,27.67
2.49,0.45,-0.08,40.79,222.64,35.91
2.48,0.46,-0.1,44.82,220.38,32.43
2.45,0.48,-0.11,36.64,235.95,27.42
2.47,0.47,-0.09,35.11,236.5,27.91
2.57,0.5,-0.13,32.79,237.59,30.54
2.56,0.53,-0.19,15.27,263.11,20.53
2.54,0.51,-0.16,26.44,255.72,29.19
2.52,0.74,0.24,33.77,260.3,60.14
2.52,0.41,-0.15,-8.29,217.45,80.83
2.59,0.33,-0.14,19.73,247.12,47.63
2.52,0.48,-0.06,21.99,266.28,36.95
2.56,0.45,-0.09,5.81,279.34,40.79
2.52,0.43,-0.06,16.19,252.61,48.91
2.54,0.37,-0.08,20.16,237.41,51.04
2.55,0.39,-0.08,26.5,245.1,41.89
2.55,0.4,-0.04,30.29,258.59,38.78
2.55,0.4,-0.04,28.09,250.23,38.17
2.56,0.39,-0.05,27.3,243.15,39.63
2.56,0.39,-0.04,27.66,250.29,34.2
2.56,0.42,-0.03,29.56,255.66,35.48
2.55,0.41,-0.05,27.66,253.04,35.54
2.55,0.37,-0.04,25.22,252.12,32.43
2.58,0.41,-0.07,25.53,254.2,31.09
2.55,0.4,-0.05,29.07,261.82,31.02
2.52,0.43,-0.01,26.2,252.36,40.06
2.59,0.37,-0.08,25.77,245.77,37.37
