accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.44,-0.58,1.22,2.03,-1.53,0.26
0.44,-0.56,1.26,-0.84,2.5,-0.54
0.47,-0.57,1.25,-4.01,5.86,-0.72
0.47,-0.59,1.23,2.95,-0.86,-1.76
0.46,-0.61,1.22,2.7,-3.24,-1.27
0.47,-0.58,1.22,7.4,0.85,-4.81
0.43,-0.58,1.25,1.91,-0.43,-5.17
0.42,-0.6,1.21,3.98,5.49,-4.14
0.43,-0.58,1.22,3.56,5.25,-6.52
0.44,-0.59,1.25,-9.26,-9.22,-10.67
0.44,-0.56,1.21,-0.72,-2.69,-5.97
0.43,-0.57,1.2,-1.08,4.94,-5.91
0.44,-0.5,1.2,2.4,6.53,1.54
0.37,-0.69,1.27,17.53,-22.77,15.64
0.53,-0.5,1.25,28.58,-24.48,13.01
0.65,-0.54,1.24,19.43,-34.67,27.05
0.49,-0.67,1.3,14.85,-15.99,24.61
0.54,-0.53,1.22,4.29,-4.88,2.39
0.56,-0.54,1.21,-16.28,8.48,-12.44
0.52,-0.62,1.26,-16.95,10.01,-18.91
0.26,-0.84,1.26,-18.66,32.65,-31.54
0.41,-0.68,1.24,-2.79,-1.95,-4.87
0.27,-0.59,1.14,6.85,25.08,-48.2
0.42,-0.5,1.16,3.01,2.81,-7.43
0.41,-0.55,1.18,13.08,-17.21,-3.83
0.44,-0.56,1.21,15.09,-11.66,-3.28
0.46,-0.58,1.24,17.47,-15.57,0.81
0.65,-0.5,1.22,28.09,-30.09,21.07
0.49,-0.52,1.18,3.62,2.93,-2.43
0.42,-0.59,1.19,0.5,8.18,-1.69
0.42,-0.56,1.21,3.68,-1.83,7.22
0.93,-0.34,1.23,9.05,-12.51,16.8
0.47,-0.53,1.2,-3.52,12.21,3.19
0.71,-0.52,1.23,-11.58,3.6,12.04
0.53,-0.51,1.19,-11.46,-1.16,5.51
0.53,-0.51,1.2,-12.92,-0.31,-0.29
0.53,-0.53,1.21,-4.26,-9.4,-0.9
0.48,-0.47,1.16,10.39,15.14,-7.55
0.45,-0.52,1.15,-70.17,-49.87,-5.36
0.84,-0.78,1.17,-25.31,-46.69,-2.55
0.62,-0.57,1.34,13.08,19.59,0.32
0.58,-0.55,1.31,2.88,10.86,-1.33
0.58,-0.56,1.28,5.94,1.46,-0.35
0.53,-0.58,1.28,0.93,3.36,-2.49
0.63,-0.59,1.26,-1.63,0.3,-4.01
0.56,-0.57,1.28,0.63,2.07,-0.47
0.6,-0.61,1.25,-0.23,4.76,-4.38
0.56,-0.56,1.29,2.15,2.5,-1.33
0.55,-0.59,1.26,-0.72,4.39,-2.18
0.64,-0.56,1.28,0.75,5.06,-2.61
0.57,-0.58,1.26,0.08,-0.8,0.44
0.57,-0.56,1.27,0.63,5.67,-2.73
