accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.38,-0.56,1.3,-1.37,-21.89,-10.29
0.39,-0.6,1.29,-0.64,-20.67,-2.29
0.4,-0.6,1.29,3.94,-17.07,-8.76
0.39,-0.58,1.3,0.4,-22.56,-9.55
0.38,-0.62,1.29,11.38,-43.19,-5.89
0.42,-0.56,1.28,2.78,-23.66,-19.32
0.37,-0.56,1.26,-4.43,-11.82,-13.16
0.41,-0.61,1.29,2.17,-6.21,-17.61
0.35,-0.58,1.24,5.83,-0.9,-11.57
0.37,-0.51,1.25,-3.57,-23.85,-13.22
0.36,-0.57,1.26,-2.35,-30.38,-2.41
0.38,-0.61,1.31,-6.99,-11.21,-17.12
0.32,-0.58,1.26,-5.22,-6.27,-8.94
0.38,-0.62,1.33,-15.47,6.61,1.13
0.3,-0.6,1.27,-5.22,2.95,-8.15
0.32,-0.58,1.24,-7.48,-25.19,27.74
0.74,-0.42,1.29,-4.12,-29.22,16.39
1.03,-0.3,1.29,4.85,-78.66,57.83
0.88,-0.41,1.25,2.96,-35.63,24.93
0.44,-0.52,1.27,4.97,-35.75,17.18
0.25,-0.71,1.34,13.03,-44.48,37.38
0.44,-0.57,1.27,6.8,-42.46,14.25
0.44,-0.54,1.25,10.16,-40.51,11.87
0.48,-0.5,1.22,18.1,-48.5,1.19
0.52,-0.49,1.23,10.65,-36.91,-6.26
0.5,-0.46,1.19,15.23,-28.97,-9.19
0.46,-0.5,1.22,11.87,-20.86,-12.12
0.5,-0.47,1.19,7.23,-14.32,-18.95
0.37,-0.54,1.24,3.02,-10.85,-22.62
0.76,-0.45,1.26,2.29,-31.11,-22.31
0.58,-0.44,1.21,-0.34,-37.7,-16.33
0.49,-0.47,1.2,-4.24,-18.66,-19.08
0.45,-0.48,1.19,-6.44,-22.32,-22.62
0.49,-0.49,1.21,-0.89,-18.17,-9.68
0.47,-0.49,1.21,-1.92,-14.63,-10.17
0.46,-0.49,1.22,-0.28,-11.82,10.89
0.17,-0.19,1.37,-72.97,-76.95,60.27
0.83,-0.84,1.08,-79.5,-93.06,9.98
0.77,-0.75,1.21,21.88,-32.15,-8.15
0.43,-0.48,1.33,28.11,26.26,-23.04
0.44,-0.48,1.26,-11.87,31.02,-5.16
0.55,-0.51,1.29,-13.28,-13.41,-1.01
0.48,-0.55,1.29,-14.68,-0.96,3.87
0.56,-0.6,1.28,-5.4,-23.54,0.7
0.51,-0.57,1.27,2.9,-18.54,0.39
0.55,-0.52,1.31,-0.89,-24.09,-5.77
