accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-1.14,0.32,2.32,6.99,27.02,-119.55
-1.07,0.23,2.24,-3.94,18.72,-113.21
-1.09,0.26,2.24,9.49,20.61,-116.99
-1.02,0.22,2.23,7.29,16.21,-123.22
-1.13,0.29,2.25,11.08,11.09,-118.94
-1.05,0.28,2.25,0.82,13.83,-119.92
-1.11,0.29,2.26,4.36,9.26,-113.82
-1.05,0.24,2.24,4.18,16.82,-118.03
-1.07,0.27,2.2,7.97,18.29,-117.11
-1.06,0.25,2.21,9.8,32.82,-128.59
-1.14,0.25,2.23,-4.61,10.11,-116.93
-1.04,0.27,2.25,-6.74,21.52,-125.29
-1.11,0.25,2.24,-18.04,44.78,-117.3
-1.24,0.31,2.18,-12.42,37.33,-99.17
-1.19,0.24,2.27,-3.94,36.9,-110.77
-1.02,0.32,2.2,-3.02,22.01,-92.03
-1.01,0.31,2.2,11.69,-0.33,-78.17
-1.02,0.33,2.2,15.72,-4.84,-81.47
-1.01,0.29,2.22,21.21,-14.24,-87.63
-1.0,0.3,2.22,21.58,-24.25,-97.22
-0.88,0.24,2.25,17.36,-33.71,-106.98
-0.97,0.33,2.19,10.59,-10.15,-126.88
-0.94,0.3,2.22,-0.64,-3.62,-123.58
-0.88,0.31,2.2,-8.88,13.16,-130.85
-0.93,0.28,2.24,-8.15,14.26,-123.83
-1.06,0.15,2.34,-20.35,41.06,-130.66
-0.95,0.28,2.27,-17.55,45.94,-126.21
-0.98,0.24,2.27,-36.29,69.13,-137.07
-1.04,0.27,2.26,-23.47,69.92,-126.82
-1.05,0.3,2.21,-19.99,72.73,-133.1
-1.11,0.22,2.27,-3.39,29.64,-116.44
-1.13,0.33,2.21,2.11,40.26,-120.1
-1.1,0.27,2.24,10.41,7.91,-103.81
-1.09,0.18,2.31,29.51,-31.39,-88.49
-1.04,0.28,2.23,17.0,-0.81,-108.63
-1.04,0.26,2.24,28.84,-29.07,-96.67
-1.0,0.3,2.21,20.54,-0.94,-103.62
-0.96,0.25,2.25,18.71,-9.91,-101.55
-0.96,0.39,2.14,24.63,12.06,-111.19
-0.93,0.31,2.2,15.05,-3.07,-114.12
-0.92,0.29,2.22,11.26,2.3,-110.89
-0.92,0.34,2.16,1.5,13.53,-112.41
-0.92,0.35,2.15,5.46,3.34,-111.25
-0.92,0.35,2.16,-0.4,18.17,-113.94
-0.89,0.36,2.14,0.4,27.38,-122.3
-1.05,0.78,2.32,-91.09,30.5,-82.99
-1.04,0.12,2.09,-90.36,-12.53,-72.19
-0.65,0.12,2.17,-10.35,36.6,-129.32
-0.96,0.34,2.35,5.4,57.84,-122.85
-0.88,0.34,2.31,-5.89,23.84,-108.57
-0.81,0.21,2.2,1.68,21.4,-118.76
-0.9,0.32,2.31,3.69,48.75,-121.69
-0.93,0.26,2.25,-3.69,11.76,-112.17
-0.9,0.27,2.25,5.58,30.01,-119.62
-0.99,0.25,2.28,-3.2,17.13,-109.91
-0.89,0.22,2.2,-3.75,21.34,-115.65
