accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.49,-0.38,1.37,-14.56,-32.35,19.25
0.47,-0.32,1.37,-20.54,-33.39,18.64
0.5,-0.4,1.37,-22.37,-36.08,13.57
0.51,-0.37,1.36,-18.95,-36.01,14.24
0.45,-0.38,1.34,-15.41,-35.53,13.94
0.56,-0.36,1.31,-19.87,-34.24,9.97
0.49,-0.33,1.33,-15.96,-27.77,13.7
0.59,-0.33,1.27,-16.57,-27.84,14.31
0.41,-0.33,1.29,-30.0,-41.87,15.16
0.53,-0.33,1.32,-32.5,-38.76,12.05
0.4,-0.32,1.28,-17.85,-47.0,13.63
0.45,-0.32,1.29,-23.71,-46.27,15.71
0.5,-0.33,1.39,-28.59,-13.86,-12.67
0.65,-0.22,1.33,-30.3,-30.34,9.67
0.55,-0.33,1.37,-28.35,-43.46,20.78
0.45,-0.45,1.35,-44.4,-2.02,2.59
0.44,-0.4,1.38,-37.26,-4.76,4.11
0.43,-0.38,1.34,-31.83,-42.0,20.59
0.41,-0.37,1.32,-24.32,-38.76,2.53
0.42,-0.36,1.3,-27.13,-31.93,6.25
0.44,-0.37,1.31,-35.55,-7.94,7.04
0.47,-0.31,1.32,-34.82,-12.39,11.38
0.67,-0.37,1.37,-11.87,-59.51,52.88
0.66,-0.19,1.26,-16.63,-47.37,34.51
0.49,-0.29,1.3,-13.82,-56.89,30.36
0.52,-0.3,1.29,-7.42,-61.1,19.25
0.5,-0.28,1.27,-4.97,-65.01,13.45
0.61,-0.31,1.31,-13.46,-49.87,6.68
0.52,-0.29,1.29,-15.11,-42.85,-1.26
0.48,-0.31,1.28,-23.35,-33.39,-9.86
0.71,-0.26,1.27,-28.53,-40.65,-16.64
0.66,-0.3,1.29,-29.94,-43.4,-7.54
0.61,-0.24,1.25,-33.23,-26.62,13.02
0.58,-0.29,1.3,-30.49,-28.02,13.27
0.55,-0.29,1.3,-24.81,-10.93,11.07
0.21,-0.05,1.38,-102.51,-65.43,66.61
0.82,-0.58,1.22,-88.16,-88.44,49.83
0.76,-0.51,1.27,-20.84,-25.09,4.78
0.65,-0.24,1.4,-1.56,7.87,7.53
0.58,-0.26,1.37,-32.68,-18.74,19.13
0.71,-0.38,1.33,-33.23,-39.19,18.03
0.59,-0.31,1.39,-29.2,-28.57,15.83
0.64,-0.32,1.37,-36.65,-38.64,16.93
0.67,-0.38,1.36,-27.01,-31.8,16.99
0.64,-0.33,1.39,-26.76,-35.4,15.1
0.64,-0.36,1.36,-30.61,-32.29,18.64
