accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.52,-0.35,1.7,-10.32,27.37,-6.18
0.44,-0.34,1.7,-9.65,25.36,-7.71
0.52,-0.38,1.67,-8.12,25.48,-7.65
0.49,-0.36,1.67,-2.02,30.0,-12.04
0.49,-0.36,1.69,0.3,23.65,-9.72
0.47,-0.28,1.7,3.11,36.59,-18.88
0.42,-0.37,1.65,-4.03,31.83,-20.34
0.45,-0.29,1.69,-0.31,39.15,-18.51
0.42,-0.37,1.66,-15.51,36.59,-24.8
0.47,-0.31,1.67,-22.1,21.39,-16.44
0.47,-0.31,1.65,-13.25,21.57,-16.07
0.41,-0.29,1.58,-20.7,42.26,-10.15
0.44,-0.31,1.7,-20.33,20.11,17.38
0.49,-0.18,1.59,-7.51,10.53,12.07
0.42,-0.25,1.56,20.81,11.81,27.26
0.57,-0.47,1.85,39.36,-19.99,32.7
0.63,-0.31,1.73,35.58,-19.38,6.45
0.71,-0.05,1.53,34.3,9.86,19.39
0.55,-0.26,1.63,39.91,7.6,44.6
0.55,-0.18,1.59,35.82,2.23,36.6
0.59,-0.16,1.61,19.04,16.75,16.03
0.71,-0.19,1.64,3.6,-12.48,9.56
0.32,0.02,2.38,-8.55,15.23,8.83
0.79,-0.22,1.38,-131.6,-13.7,-6.67
1.08,-0.3,1.69,-60.43,24.56,-30.17
0.64,-0.21,1.75,-17.22,5.77,9.2
0.77,-0.27,1.65,-44.56,87.25,-4.05
0.56,-0.22,1.71,-29.06,60.76,-1.85
0.77,-0.31,1.71,-15.57,56.06,-12.1
0.59,-0.26,1.74,-10.26,53.25,-7.16
0.72,-0.25,1.72,2.25,45.8,-9.79
0.55,-0.29,1.67,7.87,41.41,-8.75
0.66,-0.26,1.7,-7.45,19.13,-12.17
0.62,-0.25,1.71,-11.91,8.21,-16.62
0.07,-0.29,1.48,0.91,-17.43,-6.92
0.57,-0.27,1.58,37.59,-0.7,-118.79
1.15,-0.18,1.86,30.21,-47.46,-64.29
0.28,-0.39,1.55,-1.29,-14.8,-3.8
0.8,-0.23,1.75,-7.45,24.93,0.71
0.61,-0.25,1.68,-8.92,33.72,-17.29
0.64,-0.26,1.69,-12.76,64.85,-16.13
0.12,0.06,1.85,-123.72,36.89,34.83
0.75,-0.43,1.68,-60.43,-3.94,4.31
0.82,-0.45,1.71,-4.83,31.22,-10.52
0.61,-0.21,1.8,-4.09,43.18,1.26
0.67,-0.26,1.76,-16.61,35.18,-3.07
0.72,-0.3,1.78,-12.82,35.92,-4.11
0.64,-0.33,1.77,-17.52,21.7,-4.41
0.76,-0.32,1.77,-12.64,26.88,-3.44
