accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.26,-0.5,2.63,18.3,16.21,71.4
0.27,-0.52,2.62,18.49,19.26,70.92
0.28,-0.52,2.61,18.37,15.79,70.79
0.3,-0.51,2.63,16.84,15.18,69.69
0.31,-0.51,2.6,22.33,11.82,70.3
0.3,-0.46,2.65,22.09,18.65,67.68
0.28,-0.53,2.6,22.58,8.46,72.62
-0.03,0.07,3.18,32.28,19.63,64.87
0.29,-0.5,2.63,16.72,-14.73,78.12
0.38,-0.47,2.65,4.57,20.79,55.96
0.43,-0.6,2.77,-4.71,37.15,70.43
0.28,-0.47,2.62,6.59,48.81,70.92
0.21,-0.5,2.58,8.48,43.31,80.86
0.31,-0.46,2.63,14.15,23.84,85.93
0.19,-0.65,2.67,33.87,-26.69,109.37
0.29,-0.33,2.55,40.7,-22.42,88.68
0.38,-0.51,2.69,53.09,-49.64,89.04
0.48,-0.56,2.74,43.15,-30.42,72.5
0.39,-0.48,2.64,8.91,36.72,33.13
0.54,-0.43,2.64,-5.5,44.84,27.46
0.3,-0.7,2.76,-6.48,45.82,61.58
0.39,-0.45,2.68,16.29,31.11,55.35
0.36,-0.49,2.63,12.57,24.51,64.99
0.34,-0.5,2.64,9.39,30.92,56.02
0.29,-0.36,2.51,66.83,-36.4,71.46
0.3,-0.33,2.5,81.42,-57.82,78.3
0.46,-0.4,2.6,66.71,-25.6,99.3
0.48,-0.4,2.56,53.64,-20.16,93.8
0.53,-0.34,2.55,44.73,-4.42,85.62
0.57,-0.38,2.6,45.28,-1.49,83.12
0.56,-0.32,2.51,23.0,12.25,73.97
0.59,-0.31,2.5,20.5,24.39,67.25
0.85,-0.47,2.74,7.93,17.37,85.26
0.53,-0.32,2.61,-73.06,2.05,81.78
0.12,0.31,3.13,15.38,61.81,170.04
0.72,-0.61,2.33,-76.73,14.81,89.84
0.76,-0.68,2.53,5.3,22.93,75.98
0.71,-0.35,2.78,23.19,50.15,70.37
0.65,-0.39,2.62,11.47,51.31,68.6
0.71,-0.44,2.62,29.84,31.78,59.5
0.58,-0.34,2.64,30.15,36.54,60.84
0.58,-0.45,2.65,17.82,37.94,69.33
0.58,-0.42,2.64,23.98,30.01,64.57
0.57,-0.43,2.64,13.85,17.25,70.55
