accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.39,0.25,1.87,59.27,-61.71,33.34
0.39,0.23,1.87,53.47,-63.97,34.5
0.4,0.2,1.85,55.42,-57.56,32.06
0.38,0.22,1.85,54.08,-56.83,31.33
0.37,0.22,1.86,55.12,-54.75,30.6
0.39,0.24,1.85,56.09,-60.43,33.28
0.35,0.22,1.86,59.45,-63.06,33.28
0.35,0.2,1.83,53.77,-57.07,32.98
0.4,0.2,1.85,61.46,-54.08,30.11
0.33,0.28,1.85,38.09,-58.66,19.85
0.34,0.23,1.85,54.69,-72.15,28.89
0.34,0.22,1.85,51.03,-55.91,20.1
0.35,0.25,1.84,51.39,-69.65,40.42
0.29,0.21,1.85,82.52,-104.44,47.5
0.42,0.24,1.86,91.07,-119.7,46.53
0.46,0.23,1.86,88.32,-139.04,70.45
0.64,0.33,1.79,106.63,-150.64,71.73
0.59,0.21,1.93,93.57,-118.17,61.79
0.64,0.35,1.8,66.53,-85.64,39.2
0.55,0.19,1.95,52.43,-91.19,29.13
0.68,0.39,1.75,19.17,-13.92,12.84
0.53,0.31,1.83,-3.72,0.12,-2.42
0.46,0.25,1.84,30.46,-6.23,8.99
0.48,0.2,1.9,40.89,-44.01,22.48
0.46,0.26,1.86,59.51,-66.05,36.03
0.46,0.28,1.84,61.16,-82.16,29.32
0.47,0.32,1.81,88.81,-107.12,31.45
0.53,0.35,1.79,92.04,-112.19,49.33
0.56,0.28,1.86,91.55,-107.92,52.69
0.59,0.3,1.84,99.55,-116.4,45.86
0.63,0.3,1.85,76.11,-81.85,39.26
0.6,0.34,1.79,79.04,-87.16,40.67
0.65,0.37,1.76,64.39,-84.42,38.53
0.64,0.38,1.76,57.68,-64.15,32.06
0.66,0.39,1.75,57.98,-65.19,33.04
0.63,0.38,1.75,62.2,-67.45,34.5
0.67,0.39,1.74,54.63,-51.21,29.32
0.5,0.98,2.32,33.63,-44.5,63.01
0.8,0.1,1.54,-45.96,-136.54,101.34
0.87,0.0,1.69,43.03,-66.66,20.22
0.72,0.39,1.95,76.36,-25.76,7.65
0.61,0.36,1.86,47.91,-54.51,27.67
0.76,0.25,1.81,58.47,-50.48,22.24
0.59,0.36,1.91,58.17,-35.65,30.35
0.67,0.28,1.79,50.17,-69.28,34.93
0.65,0.31,1.86,61.46,-55.24,34.75
