accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.32,-0.91,1.33,0.95,-11.25,-0.06
0.32,-0.83,1.41,1.68,-10.76,-5.98
0.33,-0.91,1.36,-4.3,-23.82,-18.92
0.25,-0.86,1.4,-5.09,-62.27,-7.69
0.39,-0.84,1.41,-9.18,-55.56,-5.55
0.38,-0.91,1.4,-9.06,-26.39,-5.68
0.41,-0.88,1.44,1.01,-4.72,-6.23
0.3,-0.92,1.44,-1.0,9.69,3.17
0.38,-0.86,1.47,2.41,7.12,1.04
0.39,-0.86,1.45,-0.03,-4.66,3.78
0.38,-0.89,1.44,-1.13,-6.61,6.9
0.4,-0.93,1.45,4.73,-11.43,13.24
0.39,-0.88,1.45,2.6,-6.18,3.17
0.4,-0.91,1.44,5.47,-10.21,10.19
0.43,-0.89,1.42,9.62,-5.76,2.81
0.5,-0.96,1.36,23.47,-13.02,8.79
0.41,-0.87,1.41,0.58,-21.99,-3.72
0.42,-0.95,1.49,-4.73,-17.11,-3.42
0.48,-0.79,1.39,-25.42,38.13,-28.2
0.44,-0.88,1.45,-10.53,7.98,-12.88
0.39,-0.91,1.46,-9.18,8.77,-6.04
0.33,-0.93,1.49,30.92,-41.03,9.15
0.46,-0.85,1.42,24.57,-45.31,20.02
0.46,-0.86,1.41,28.9,-28.52,18.62
0.5,-0.85,1.42,31.34,-21.14,20.69
0.49,-0.88,1.44,36.53,-18.21,14.34
0.55,-0.9,1.46,10.9,-10.27,7.08
0.52,-0.85,1.41,16.09,10.11,17.33
0.33,-0.72,1.89,-79.07,8.71,-6.96
0.59,-0.99,1.13,-75.65,26.23,-27.04
0.53,-1.0,1.42,-8.45,28.48,-40.1
0.38,-0.89,1.42,12.3,2.24,0.18
0.41,-0.89,1.47,8.7,40.14,-14.47
0.31,-0.93,1.44,-2.77,2.91,9.4
0.44,-0.94,1.46,4.37,8.65,-3.66
0.37,-0.95,1.45,6.87,12.25,-5.19
0.31,-0.94,1.52,-0.76,6.82,-1.04
0.36,-0.91,1.45,1.68,-24.07,-0.06
0.37,-0.86,1.44,8.46,-21.32,0.12
0.38,-1.01,1.55,18.47,-41.1,11.35
0.47,-0.95,1.51,-0.88,6.21,-14.16
0.37,-0.89,1.44,-1.55,22.2,-17.58
0.35,-0.89,1.45,16.94,-37.43,22.28
0.43,-0.93,1.49,13.28,-30.84,9.46
0.42,-0.93,1.5,4.31,40.63,-4.15
0.33,-0.84,1.42,-47.57,-15.89,2.62
0.58,-1.08,1.44,-27.01,-33.34,-0.06
0.44,-1.0,1.49,8.94,-0.81,-6.35
0.38,-0.97,1.52,4.49,-0.02,-3.24
0.46,-0.99,1.53,10.53,-3.44,-5.8
0.4,-0.95,1.52,8.76,-1.67,-3.66
0.45,-0.94,1.51,3.51,7.92,-1.59
0.41,-0.96,1.48,6.38,-4.6,-2.5
