accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.45,0.44,-0.79,-223.6,-52.36,6.38
-0.5,0.4,-0.79,-230.74,-58.52,7.97
-0.49,0.43,-0.84,-214.63,-54.56,4.61
-0.5,0.43,-0.83,-236.3,-65.18,2.35
-0.48,0.41,-0.82,-230.38,-73.78,-7.29
-0.51,0.4,-0.8,-235.87,-52.85,-1.37
-0.52,0.45,-0.85,-225.86,-49.19,2.54
-0.48,0.46,-0.86,-203.83,-101.98,19.5
-0.44,0.47,-0.84,-205.35,-90.26,12.73
-0.43,0.43,-0.82,-210.3,-92.09,13.58
-0.4,0.5,-0.88,-198.82,-101.68,21.58
-0.39,0.44,-0.84,-194.8,-96.85,18.16
-0.38,0.49,-0.88,-190.64,-94.6,18.71
-0.3,0.51,-0.88,-192.9,-89.65,20.79
-0.36,0.45,-0.83,-210.54,-73.84,14.99
-0.33,0.52,-0.9,-222.08,-70.18,9.56
-0.32,0.54,-0.92,-217.01,-58.1,3.64
-0.26,0.54,-0.93,-265.11,-49.06,20.24
-0.59,0.7,-1.05,-255.65,-46.38,17.43
-0.41,0.78,-0.7,-239.66,17.53,25.67
-0.44,0.27,-0.86,-327.97,-0.48,8.82
-0.18,0.34,-0.88,-237.58,-35.94,-38.72
-0.43,0.33,-0.74,-243.38,-16.53,-19.01
-0.42,0.43,-0.81,-220.12,-27.4,-1.86
-0.55,0.39,-0.81,-235.14,-50.16,4.06
-0.45,0.33,-0.82,-217.81,-63.22,4.86
-0.55,0.38,-0.78,-211.03,-46.74,-0.58
-0.46,0.37,-0.88,-207.67,-49.98,3.45
-0.54,0.41,-0.82,-225.86,-87.21,8.21
-0.57,0.41,-0.82,-216.83,-82.82,23.41
-0.51,0.39,-0.78,-214.14,-90.63,19.93
-0.49,0.38,-0.8,-226.59,-43.57,-8.02
-0.64,0.41,-0.87,-235.32,-24.53,-16.93
-0.61,0.34,-0.77,-214.57,-100.94,35.86
-0.47,0.29,-0.73,-230.56,-34.78,-3.2
-0.65,0.57,-0.76,-266.33,-79.95,19.26
-0.47,0.28,-0.81,-252.9,-104.12,18.96
-0.42,0.34,-0.77,-221.35,-80.99,3.76
-0.48,0.33,-0.77,-218.9,-79.58,6.44
-0.44,0.39,-0.76,-223.6,-68.23,4.37
-0.44,0.37,-0.74,-223.3,-68.35,6.87
-0.47,0.35,-0.79,-228.0,-66.4,9.13
-0.47,0.38,-0.74,-231.78,-61.94,11.51
-0.44,0.34,-0.77,-230.93,-70.67,9.01
-0.47,0.38,-0.74,-228.85,-56.39,8.7
-0.45,0.35,-0.75,-227.45,-70.0,6.5
-0.47,0.36,-0.77,-229.22,-59.01,7.97
-0.45,0.36,-0.74,-229.59,-64.99,7.72
-0.43,0.36,-0.76,-223.6,-62.06,7.18
-0.48,0.38,-0.71,-226.35,-68.23,7.66
-0.45,0.35,-0.76,-225.31,-63.83,9.98
-0.43,0.36,-0.75,-224.58,-69.21,6.93
-0.52,0.36,-0.75,-226.66,-60.6,9.62
-0.41,0.34,-0.75,-226.23,-68.96,6.93
-0.49,0.38,-0.73,-222.93,-58.16,7.18
