accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.63,-0.73,1.48,-2.94,-21.7,5.63
0.53,-0.79,1.41,0.6,-4.49,3.43
0.64,-0.79,1.45,-0.56,-16.45,7.52
0.55,-0.78,1.46,7.74,-27.87,11.79
0.66,-0.76,1.5,-2.46,-42.58,7.7
0.7,-0.88,1.44,2.73,-30.0,13.08
0.65,-0.72,1.48,-0.32,7.35,-3.34
0.7,-0.76,1.48,-2.09,8.82,-0.35
0.62,-0.79,1.45,2.24,1.31,0.62
0.66,-0.75,1.47,4.26,14.92,-0.66
0.62,-0.81,1.49,-10.63,-9.74,1.6
0.63,-0.75,1.45,-8.62,19.19,-13.23
0.67,-0.77,1.47,-10.76,16.51,-10.18
0.65,-0.6,1.37,13.29,8.39,1.48
0.6,-0.74,1.43,52.9,-139.99,39.57
0.79,-0.63,1.38,52.72,-109.1,41.58
0.91,-0.81,1.51,52.66,-95.13,28.7
0.87,-0.75,1.47,18.36,-31.65,11.0
0.91,-0.74,1.46,-15.82,-9.31,-8.96
0.92,-0.7,1.39,-55.68,68.75,-31.85
0.79,-0.67,1.41,-44.08,81.33,-30.81
0.78,-0.73,1.46,-7.83,-7.66,-13.17
0.8,-0.74,1.47,-12.89,34.45,-29.83
0.76,-0.76,1.47,-9.9,46.6,-11.89
0.67,-0.81,1.52,27.02,-19.69,18.51
0.77,-0.72,1.47,37.64,-58.2,39.14
0.65,-0.8,1.5,14.7,-19.63,17.65
0.81,-0.71,1.44,8.35,-14.8,8.25
0.8,-0.7,1.42,1.21,-25.12,8.62
0.78,-0.64,1.39,1.45,-7.36,-5.6
0.8,-0.65,1.35,27.45,-50.82,-14.15
0.73,-0.63,1.36,25.25,-62.47,-17.44
0.75,-0.65,1.39,17.63,-17.0,-16.83
0.9,-0.66,1.37,10.85,-39.46,-9.63
0.87,-0.73,1.47,-0.69,-26.1,-17.14
1.03,-0.44,1.79,-22.47,77.3,-5.05
0.89,-0.7,1.3,-71.06,-36.72,27.6
1.03,-0.89,1.35,-9.96,-27.74,4.23
0.84,-0.74,1.47,6.94,11.07,-3.4
0.88,-0.76,1.46,-2.7,4.67,2.52
0.91,-0.78,1.43,2.18,13.58,-0.9
0.83,-0.71,1.51,10.73,12.72,-6.58
0.82,-0.72,1.48,-0.56,10.59,-4.56
0.86,-0.77,1.45,4.2,3.32,-0.9
0.81,-0.73,1.51,1.7,-1.32,0.38
0.82,-0.76,1.46,-4.84,0.76,0.2
0.83,-0.77,1.44,4.75,0.7,-0.84
0.86,-0.77,1.45,1.57,-1.44,1.42
