accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.37,-0.7,1.24,-6.37,-1.99,7.23
0.31,-0.67,1.26,-8.81,-9.13,7.3
0.37,-0.7,1.25,-7.46,-16.03,8.7
0.33,-0.71,1.23,-6.06,-13.83,5.04
0.39,-0.7,1.3,-4.66,-4.55,3.33
0.31,-0.69,1.23,-4.29,-6.08,-0.88
0.39,-0.74,1.25,-7.28,-7.67,3.33
0.29,-0.7,1.22,0.29,-2.78,-2.53
0.38,-0.73,1.24,-4.96,-8.7,2.78
0.31,-0.61,1.18,-20.1,-5.1,-19.25
0.31,-0.71,1.22,-4.11,-20.61,-1.43
0.34,-0.7,1.22,-15.95,20.96,-17.79
0.28,-0.89,1.35,20.86,-59.67,42.88
0.38,-0.45,1.04,30.8,-61.01,38.36
0.4,-0.68,1.24,30.25,-72.0,41.72
0.59,-0.42,1.09,26.9,-56.13,28.72
0.48,-0.67,1.25,10.66,-29.03,24.57
0.52,-0.65,1.26,0.53,-19.87,17.49
0.54,-0.6,1.2,-4.11,-13.71,3.82
0.57,-0.59,1.21,1.32,18.52,4.73
0.23,-0.42,1.47,-92.18,15.83,-19.07
0.59,-0.76,1.17,-58.67,-2.91,-13.03
0.59,-0.73,1.22,-6.12,7.65,0.83
0.41,-0.62,1.25,-6.31,-0.52,4.55
0.48,-0.68,1.28,-4.78,-12.3,3.82
0.46,-0.67,1.26,0.53,0.39,2.41
0.46,-0.67,1.24,-3.92,-2.29,4.0
0.47,-0.65,1.26,-4.72,-6.08,7.05
