accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.36,-0.77,1.21,-20.16,-24.03,-2.02
0.37,-0.78,1.22,-28.64,-20.86,1.28
0.35,-0.8,1.17,-21.25,-23.73,3.23
0.42,-0.74,1.21,-19.97,-27.45,7.14
0.45,-0.77,1.23,-13.87,-24.76,5.98
0.35,-0.76,1.2,-19.91,-24.27,-1.65
0.42,-0.77,1.16,-23.7,-18.42,-1.65
0.38,-0.71,1.18,-42.68,-15.0,-18.25
0.42,-0.75,1.2,-29.49,-22.87,-9.16
0.39,-0.76,1.2,-37.18,-2.79,-11.05
0.39,-0.64,1.11,-12.95,-29.52,8.24
0.48,-0.79,1.22,-0.44,-56.5,3.78
0.47,-0.69,1.14,-6.24,-47.41,5.73
0.47,-0.77,1.23,-7.22,-63.7,10.74
0.49,-0.7,1.17,-15.15,-48.44,-1.16
0.37,-0.89,1.32,-53.48,-9.69,-29.12
0.66,-0.44,1.03,-48.6,20.46,-42.3
0.46,-0.73,1.24,-41.88,8.2,-26.19
0.44,-0.73,1.2,-38.95,6.3,-16.3
0.41,-0.76,1.19,-31.81,-5.96,-14.16
0.38,-0.76,1.22,3.89,-45.45,-13.92
0.47,-0.65,1.11,-7.58,-37.76,-0.55
0.46,-0.67,1.15,8.65,-60.77,14.77
0.47,-0.79,1.27,-4.35,-53.08,15.01
0.51,-0.68,1.16,-14.23,-49.85,2.19
0.47,-0.71,1.18,-46.64,10.09,-34.73
0.55,-0.61,1.18,-44.51,2.46,-29.54
0.45,-0.74,1.15,-61.05,33.04,-48.89
0.44,-0.64,1.16,-42.98,7.52,-28.99
0.42,-0.74,1.18,-26.2,-17.5,-10.62
0.38,-0.72,1.16,-31.32,-21.34,-7.33
0.39,-0.66,1.1,-5.08,-44.05,-5.19
0.43,-0.76,1.24,26.84,-61.26,11.78
0.45,-0.74,1.17,6.76,-43.99,9.46
0.48,-0.68,1.15,-15.64,-31.48,-2.44
0.45,-0.68,1.14,-23.27,-32.76,-0.06
0.47,-0.67,1.13,-23.09,-30.32,-4.34
0.47,-0.67,1.14,-24.61,-26.35,-2.32
0.48,-0.67,1.12,-23.51,-28.73,-5.86
0.48,-0.67,1.14,-24.73,-21.96,-6.96
0.47,-0.67,1.13,-23.15,-34.28,-4.21
0.48,-0.67,1.13,-26.2,-19.76,-9.89
0.49,-0.67,1.14,-25.95,-29.4,3.9
0.48,-0.66,1.13,-27.78,-10.66,-5.31
0.51,-0.66,1.14,-22.6,22.6,-2.51
0.2,-0.57,1.45,-33.95,-13.17,17.21
0.46,-0.77,1.03,-104.93,-16.58,12.39
0.6,-0.86,1.14,-44.94,-33.73,1.71
0.45,-0.65,1.23,-21.62,-19.09,-4.03
0.47,-0.77,1.15,-34.74,-20.31,-2.69
0.48,-0.74,1.17,-20.83,-19.21,-7.21
0.45,-0.71,1.21,-23.45,-25.62,-5.8
0.51,-0.72,1.21,-26.38,-20.55,-2.2
0.48,-0.73,1.16,-20.58,-16.71,-5.98
