accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.47,-0.6,1.18,0.19,-31.55,10.83
0.51,-0.56,1.19,-1.39,-34.48,12.48
0.49,-0.54,1.19,7.27,-19.1,8.58
0.51,-0.55,1.19,-5.18,-27.77,11.51
0.52,-0.54,1.18,-1.7,-16.72,3.88
0.52,-0.56,1.15,0.19,-13.79,8.21
0.55,-0.54,1.16,7.15,-10.74,-3.45
0.48,-0.51,1.14,-10.91,-24.66,-2.78
0.53,-0.53,1.17,-14.64,-22.7,-8.64
0.5,-0.5,1.14,-15.55,-16.35,3.69
0.49,-0.5,1.13,21.86,-70.31,12.67
0.55,-0.49,1.18,33.15,-83.92,19.93
0.55,-0.56,1.21,8.86,-61.89,20.17
0.65,-0.48,1.15,-0.36,-32.47,4.85
0.65,-0.56,1.2,-14.64,-35.64,11.08
0.65,-0.51,1.19,-52.3,38.09,-34.15
0.63,-0.48,1.15,-36.49,21.61,-23.1
0.84,-0.17,0.99,-30.69,17.34,-31.77
0.53,-0.54,1.17,-11.34,-20.57,1.68
0.54,-0.53,1.18,-13.05,-21.18,0.15
0.45,-0.34,1.02,14.78,-32.35,-10.71
0.61,-0.59,1.21,38.28,-72.51,2.84
0.58,-0.49,1.16,13.19,-50.53,7.84
0.68,-0.5,1.17,23.08,-71.16,9.92
0.62,-0.48,1.12,25.71,-56.21,1.25
0.69,-0.46,1.13,-6.28,-29.42,2.72
0.69,-0.44,1.1,-5.12,-33.44,4.12
0.68,-0.43,1.09,-7.07,-24.04,0.64
0.66,-0.44,1.11,-11.28,18.5,-1.68
0.44,-0.12,1.37,-109.0,33.15,37.81
0.57,-0.65,1.06,-95.94,14.77,22.07
0.79,-0.64,1.12,-26.54,-3.17,-1.13
0.59,-0.48,1.23,-15.61,3.73,3.02
0.65,-0.54,1.2,-25.14,0.0,3.82
0.66,-0.57,1.19,-11.65,-15.81,2.9
0.65,-0.57,1.21,-10.43,-18.37,3.45
