accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.35,-0.64,1.29,-2.93,-11.16,-6.5
0.31,-0.63,1.3,-0.43,-6.95,-5.52
0.37,-0.64,1.26,-4.82,-12.01,-5.83
0.32,-0.63,1.28,-1.96,-2.19,-6.32
0.34,-0.64,1.28,-6.78,-1.39,-5.4
0.34,-0.64,1.27,0.79,1.78,-5.77
0.28,-0.64,1.26,-13.0,-10.61,-0.15
0.34,-0.65,1.28,-11.9,-8.96,-2.41
0.41,-0.62,1.29,-8.73,0.01,-3.69
0.41,-0.6,1.25,-8.36,-5.6,4.24
0.32,-0.65,1.29,3.17,-16.41,32.99
0.31,-0.66,1.3,13.97,-20.99,40.19
0.46,-0.44,1.12,12.08,0.07,12.36
0.37,-0.54,1.19,8.73,-19.46,9.12
0.4,-0.61,1.27,18.06,-23.43,11.5
0.36,-0.61,1.25,14.58,-14.94,-7.42
0.48,-0.58,1.28,0.18,-10.79,-12.97
0.5,-0.56,1.23,-5.74,-1.27,-23.35
0.35,-0.6,1.25,-9.59,5.63,-22.74
0.33,-0.6,1.25,-17.83,1.29,-21.7
0.33,-0.61,1.25,-19.53,6.18,-9.06
0.37,-0.59,1.24,-26.49,14.6,-21.03
0.32,-0.58,1.23,-21.85,10.51,-10.96
0.31,-0.52,1.15,-26.8,17.71,-10.53
0.31,-0.69,1.33,-12.64,-3.04,-3.88
-0.06,-0.57,1.05,-15.99,3.61,7.84
0.28,-0.72,1.39,-21.98,-1.64,29.33
0.26,-0.65,1.27,-9.95,-7.98,48.06
0.17,-0.41,1.49,-52.68,-31.3,4.97
0.46,-0.75,1.26,-47.61,-43.51,-3.21
0.44,-0.78,1.28,-12.39,-42.71,-4.55
0.43,-0.7,1.35,-2.93,-22.45,-2.9
0.42,-0.7,1.31,-3.91,-17.32,-2.23
0.42,-0.72,1.34,-3.42,-9.57,0.09
0.41,-0.68,1.37,0.97,-0.54,-0.95
0.4,-0.69,1.35,-4.58,-6.52,0.09
0.41,-0.67,1.36,-2.93,-6.46,-1.56
