accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.38,-0.62,1.2,9.95,-0.05,3.17
0.42,-0.64,1.2,-0.3,-0.29,4.09
0.45,-0.65,1.18,7.08,7.64,1.46
0.41,-0.63,1.16,2.44,4.53,-0.73
0.44,-0.63,1.17,3.36,21.5,-3.24
0.4,-0.63,1.17,-4.88,1.54,-2.62
0.4,-0.62,1.17,-4.33,-0.72,-17.52
0.39,-0.63,1.18,-11.05,25.89,-6.23
0.35,-0.67,1.19,9.64,-9.2,12.7
0.42,-0.64,1.16,32.41,-37.22,13.61
0.42,-0.46,1.0,44.62,-24.16,38.39
0.41,-0.67,1.19,33.75,-34.35,35.4
0.49,-0.47,1.05,25.45,-18.48,17.09
0.53,-0.59,1.18,27.95,-31.24,15.08
0.53,-0.54,1.14,7.75,-15.67,1.59
0.53,-0.6,1.19,-3.84,0.38,-6.23
0.44,-0.82,1.31,-36.74,27.6,-27.1
0.44,-0.45,1.1,-42.3,38.71,-28.87
0.47,-0.46,1.11,-38.82,41.64,-25.76
0.42,-0.65,1.23,-25.45,38.53,-25.39
0.23,-0.75,1.23,-4.39,2.82,2.87
0.37,-0.59,1.15,0.92,14.36,-17.27
0.43,-0.63,1.34,33.51,-9.87,-31.49
0.38,-0.58,1.11,13.0,-22.51,-1.95
0.36,-0.6,1.14,5.55,-0.78,7.2
0.36,-0.64,1.19,29.66,-15.98,21.55
0.43,-0.65,1.2,27.53,-21.23,27.28
0.41,-0.61,1.13,9.4,-1.94,8.18
0.39,-0.63,1.2,8.97,-43.08,38.02
0.44,-0.56,1.15,-9.83,-47.59,16.91
0.43,-0.51,1.07,-24.54,-23.0,11.96
0.18,-0.12,1.54,4.88,0.93,25.94
0.62,-0.7,1.13,-90.88,-33.13,0.61
0.69,-0.89,1.14,-18.8,10.63,-16.85
0.49,-0.67,1.27,14.77,43.04,-12.33
0.44,-0.59,1.26,3.6,39.44,-4.15
0.49,-0.64,1.24,1.89,5.51,1.59
0.42,-0.66,1.28,-2.38,-6.58,0.67
0.57,-0.68,1.21,5.37,5.75,-0.43
0.43,-0.63,1.24,1.1,1.66,2.01
0.47,-0.65,1.27,-4.76,-7.92,-3.78
0.47,-0.67,1.23,3.24,9.96,0.92
0.49,-0.67,1.24,4.52,0.75,0.67
