accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.61,-0.62,1.37,4.71,-9.02,0.62
0.57,-0.63,1.36,-0.35,-3.83,0.01
0.63,-0.65,1.36,0.69,-0.9,-1.08
0.59,-0.65,1.38,9.6,-8.65,-5.42
0.6,-0.62,1.33,5.81,-4.2,-7.68
0.6,-0.63,1.33,12.34,14.84,-4.87
0.52,-0.53,1.37,16.55,17.96,-15.0
0.59,-0.56,1.28,-6.52,-29.35,1.97
0.62,-0.64,1.37,3.31,-27.64,-7.68
0.61,-0.61,1.35,-7.49,11.06,4.96
0.67,-0.65,1.43,-11.09,19.73,4.65
0.55,-0.55,1.26,-4.38,-3.65,16.49
0.66,-0.54,1.3,5.2,-25.01,33.64
0.72,-0.53,1.3,6.3,-18.36,26.44
0.62,-0.63,1.35,15.76,-27.39,23.94
0.56,-0.58,1.32,5.87,-34.11,-10.85
0.73,-0.6,1.35,3.0,-15.67,-4.32
0.72,-0.6,1.36,-10.61,12.59,-24.4
0.79,-0.53,1.32,-15.37,24.24,-17.5
0.66,-0.59,1.31,-20.07,29.31,-21.47
0.62,-0.6,1.34,-17.93,3.86,-9.26
0.75,-0.37,1.2,-12.32,15.82,-23.97
0.64,-0.59,1.33,-4.75,0.5,-3.65
0.59,-0.51,1.26,3.25,-0.6,-9.81
0.69,-0.57,1.31,36.94,-31.36,7.89
0.66,-0.46,1.21,25.71,-1.82,23.88
0.62,-0.56,1.32,16.86,15.82,5.32
0.62,-0.56,1.28,31.26,15.7,3.55
0.63,-0.58,1.3,13.32,25.34,5.08
0.62,-0.54,1.27,-2.55,0.38,-0.84
0.63,-0.51,1.23,-0.9,-9.14,-0.35
0.62,-0.51,1.24,2.7,-16.04,4.1
0.47,-0.79,1.45,-36.3,9.9,-59.01
0.47,-0.4,1.06,-14.15,13.32,-34.9
0.67,-0.59,1.2,-46.49,-57.06,-17.32
0.69,-0.66,1.29,-20.68,-33.07,-5.6
0.63,-0.55,1.38,-16.53,-8.17,5.81
0.68,-0.63,1.34,-13.9,-4.14,3.01
0.6,-0.6,1.36,-5.48,7.82,-4.2
0.58,-0.6,1.36,-5.91,-2.06,-2.92
0.61,-0.64,1.34,-10.61,11.73,-0.72
0.57,-0.62,1.34,-6.76,13.99,-1.63
0.63,-0.61,1.33,-2.31,5.32,2.15
0.55,-0.59,1.36,-4.87,16.98,0.14
0.56,-0.63,1.32,-5.85,11.18,2.15
0.57,-0.61,1.34,-4.32,1.23,0.81
