accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.52,-0.64,1.37,11.45,-29.69,8.13
0.57,-0.64,1.38,8.34,-14.13,8.68
0.6,-0.69,1.33,14.56,-1.31,7.28
0.58,-0.64,1.36,14.8,-0.03,5.2
0.62,-0.65,1.33,22.13,-4.49,3.92
0.56,-0.58,1.31,0.34,-17.24,-11.09
0.64,-0.61,1.34,-4.12,0.46,-20.31
0.6,-0.63,1.34,-10.65,14.43,-8.23
0.4,-0.63,1.31,58.14,-70.22,8.62
0.74,-0.7,1.41,72.91,-177.4,14.78
0.82,-0.52,1.31,59.42,-140.66,23.21
0.93,-0.6,1.35,33.85,-75.1,15.7
0.94,-0.53,1.29,5.41,1.25,-1.15
0.97,-0.63,1.38,3.03,-16.45,3.0
0.86,-0.48,1.26,-39.52,64.73,-14.63
0.92,-0.54,1.33,-29.81,50.69,-17.26
0.65,-0.8,1.47,-9.43,38.18,-19.46
0.71,-0.58,1.33,-11.93,37.99,-37.16
0.67,-0.59,1.35,6.08,42.69,-15.06
0.7,-0.38,1.3,-95.3,-47.52,3.92
0.95,-0.89,1.34,-32.25,-16.39,7.34
0.84,-0.8,1.38,32.2,37.75,1.78
0.53,-0.52,1.55,36.72,17.18,-1.76
0.63,-0.66,1.36,3.39,-0.82,-5.24
0.72,-0.68,1.42,9.8,0.09,-2.06
0.65,-0.63,1.43,4.25,-1.56,-4.5
0.72,-0.68,1.41,2.54,-0.09,-2.92
0.64,-0.67,1.43,10.53,6.01,-1.63
0.71,-0.7,1.4,11.2,13.58,2.58
0.64,-0.58,1.46,7.66,17.61,-4.01
0.66,-0.69,1.37,-3.32,17.18,-1.88
0.65,-0.66,1.42,2.6,19.07,-5.11
