accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.51,-0.74,1.48,1.15,-8.5,-1.56
0.5,-0.73,1.48,0.23,-0.39,2.72
0.54,-0.73,1.48,0.66,-3.68,-0.7
0.55,-0.72,1.48,3.77,-1.97,-0.82
0.53,-0.72,1.45,10.73,-0.87,-2.66
0.48,-0.74,1.46,-3.19,-5.63,0.21
0.61,-0.67,1.48,-3.13,-4.84,-3.82
0.51,-0.72,1.46,-8.01,10.36,-12.85
0.52,-0.76,1.5,-1.42,4.19,-6.81
0.52,-0.76,1.49,-3.68,-0.14,0.15
0.61,-0.85,1.63,-6.48,5.11,1.49
0.74,-0.75,1.56,-8.07,-24.74,27.13
0.29,-0.83,1.42,-8.38,-19.06,40.31
0.75,-0.63,1.45,-1.6,-1.79,27.98
0.5,-0.68,1.4,-2.52,19.76,15.11
0.49,-0.79,1.53,1.33,-13.14,15.9
0.51,-0.69,1.46,13.72,-6.79,7.72
0.62,-0.73,1.56,23.0,-1.91,-25.54
0.27,-0.79,1.29,9.45,-10.76,-9.31
0.38,-0.68,1.29,11.7,-20.22,-13.7
0.34,-0.71,1.28,25.01,-10.21,-22.98
0.47,-0.64,1.45,33.92,-43.17,-12.3
0.64,-0.66,1.47,34.35,-51.29,-3.94
0.59,-0.65,1.45,27.76,-28.34,0.82
0.63,-0.61,1.42,23.97,-23.95,15.04
0.65,-0.63,1.45,13.23,-30.78,33.36
0.6,-0.65,1.49,-2.76,-8.14,24.08
0.51,-0.59,1.26,-21.74,-29.99,23.04
0.73,-0.61,1.45,-30.78,-7.59,-2.05
0.54,-0.31,1.56,-88.94,37.27,13.58
0.8,-0.76,1.38,-57.69,-19.37,-6.68
0.77,-0.78,1.51,-6.79,-33.89,0.7
0.66,-0.74,1.54,1.21,2.61,1.13
0.72,-0.7,1.57,-3.37,6.15,-0.95
0.76,-0.67,1.48,0.72,6.82,-3.75
0.72,-0.72,1.54,3.4,-5.45,3.14
0.71,-0.71,1.56,3.04,-5.39,-0.76
