accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.58,-0.51,1.27,-5.46,5.4,1.92
0.54,-0.5,1.32,-6.07,3.69,-0.34
0.58,-0.55,1.27,-3.94,11.44,0.64
0.56,-0.53,1.28,-7.41,12.6,-3.14
0.51,-0.53,1.27,-3.63,14.07,-3.63
0.54,-0.55,1.27,-0.76,8.33,-3.63
0.57,-0.53,1.27,4.43,5.34,-2.59
0.53,-0.46,1.28,-16.39,13.4,-14.92
0.52,-0.52,1.27,0.52,-14.37,-1.62
0.52,-0.54,1.28,-2.04,33.29,-23.65
0.52,-0.37,1.2,1.5,28.35,-1.43
0.75,-0.21,1.1,24.14,-14.92,29.82
0.51,-0.38,1.15,20.17,-24.99,9.67
0.49,-0.5,1.28,29.45,-58.56,20.54
0.6,-0.53,1.32,26.76,-32.56,17.79
0.67,-0.49,1.31,36.47,-86.33,28.47
0.7,-0.5,1.32,30.49,-19.13,29.02
0.79,-0.56,1.1,-99.52,69.37,8.21
0.78,-0.63,1.19,-25.3,48.0,17.49
0.58,-0.41,1.37,-2.78,29.33,6.93
0.6,-0.48,1.23,-6.13,24.38,8.88
0.65,-0.51,1.31,4.91,24.69,2.78
0.55,-0.52,1.3,15.47,22.55,1.43
0.65,-0.54,1.25,23.22,18.16,-6.5
0.58,-0.39,1.25,-13.34,-12.73,-14.37
0.67,-0.39,1.28,-10.16,4.49,-39.83
0.43,-0.54,1.13,16.51,-3.57,-72.24
0.94,-0.47,1.43,12.79,-32.87,-10.77
0.53,-0.52,1.3,6.93,25.36,6.93
0.43,-0.3,1.61,-47.58,1.43,15.05
0.59,-0.68,1.15,-30.36,-8.82,4.36
0.65,-0.61,1.26,-3.94,17.12,-1.62
0.57,-0.54,1.3,0.58,-4.61,4.49
0.53,-0.52,1.33,6.07,-2.35,5.71
0.58,-0.55,1.32,-2.47,6.32,2.53
0.59,-0.53,1.33,-0.27,2.35,3.39
0.52,-0.52,1.32,3.63,9.12,2.23
0.58,-0.57,1.29,0.58,5.95,1.74
0.55,-0.54,1.31,1.07,5.46,1.68
0.57,-0.56,1.3,1.01,7.29,0.46
