accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.57,-0.06,1.34,30.44,30.72,69.72
0.58,-0.04,1.37,28.43,27.67,71.62
0.56,-0.07,1.35,32.4,22.66,81.87
0.6,-0.07,1.35,27.09,27.73,74.12
0.6,-0.08,1.38,29.77,27.18,75.89
0.62,-0.07,1.35,30.26,36.94,70.82
0.61,-0.06,1.36,18.48,41.28,59.53
0.62,-0.06,1.36,23.0,27.48,66.61
0.65,-0.03,1.36,25.26,43.17,48.79
0.55,-0.0,1.35,34.96,69.17,60.08
0.62,0.07,1.3,68.53,-21.1,89.07
0.6,0.02,1.36,83.73,-87.93,100.85
0.72,-0.04,1.37,71.89,-39.66,85.16
0.74,0.05,1.32,50.1,-20.12,72.59
0.76,-0.01,1.37,42.83,-28.24,64.17
0.77,-0.12,1.45,-3.8,58.67,30.78
0.79,-0.01,1.36,-0.56,93.52,45.13
0.59,-0.16,1.44,-10.69,117.2,33.96
0.69,0.01,1.35,13.9,76.86,49.89
0.77,0.22,1.17,5.91,98.34,22.3
0.6,-0.07,1.37,33.62,26.45,59.96
0.62,-0.05,1.36,31.24,30.96,55.62
0.64,0.11,1.29,55.16,13.87,69.6
0.71,0.07,1.35,62.79,-3.4,77.84
0.73,0.01,1.29,91.54,-11.76,109.7
0.69,-0.14,1.47,52.54,1.67,85.47
0.82,0.01,1.35,55.41,13.32,76.8
0.8,0.04,1.33,39.42,26.75,69.05
0.82,0.05,1.32,33.74,17.41,70.7
0.82,0.07,1.29,32.7,22.91,67.22
0.83,0.06,1.3,30.5,44.15,61.18
0.81,0.06,1.3,38.68,85.41,70.21
0.58,0.08,1.33,-85.28,19.49,75.16
0.98,-0.13,1.22,-24.92,31.82,56.48
0.9,-0.1,1.31,47.23,69.96,53.61
0.65,0.06,1.4,53.58,48.48,61.48
0.65,0.07,1.35,28.67,42.86,65.88
