accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.33,-0.65,1.21,-1.14,-4.76,0.52
0.36,-0.66,1.19,-1.75,-8.06,8.09
0.38,-0.66,1.2,2.21,-10.07,12.66
0.35,-0.61,1.21,-1.27,-1.22,5.77
0.34,-0.64,1.2,3.49,1.4,4.06
0.38,-0.62,1.16,11.79,-3.24,-2.11
0.35,-0.55,1.21,-30.93,10.62,-17.06
0.35,-0.6,1.19,-1.57,-11.48,-1.43
0.38,-0.56,1.17,8.8,-34.0,24.38
0.45,-0.53,1.18,39.26,-91.43,29.69
0.5,-0.66,1.27,38.71,-94.0,23.96
0.58,-0.62,1.25,13.99,-60.06,6.99
0.61,-0.53,1.16,5.33,-34.73,-2.05
0.61,-0.53,1.17,-0.53,-8.67,-2.72
0.61,-0.52,1.16,-1.02,-8.37,-1.07
0.62,-0.52,1.17,-2.18,-7.82,-1.86
0.62,-0.53,1.16,-2.61,-7.76,-2.05
0.61,-0.53,1.17,-4.44,-1.22,-2.53
0.62,-0.53,1.17,-2.43,-10.26,-0.89
0.61,-0.53,1.18,3.62,-27.53,2.9
0.47,-0.7,1.34,-45.46,7.93,-39.64
0.76,-0.47,1.12,-63.28,52.06,-63.2
0.67,-0.55,1.21,-27.94,55.78,-37.26
0.57,-0.51,1.18,-11.15,52.06,-20.72
0.44,-0.62,1.23,-9.2,36.56,-7.9
0.42,-0.63,1.24,5.33,54.81,-0.15
0.3,-0.4,1.61,28.46,12.14,50.26
0.3,-0.67,1.11,-39.23,-19.72,-5.1
0.54,-0.74,1.16,-14.39,-4.52,-6.56
0.33,-0.65,1.28,18.57,-11.54,6.01
0.32,-0.63,1.22,-2.24,-19.05,5.95
0.42,-0.67,1.2,-3.4,-8.3,2.17
0.41,-0.65,1.22,2.82,-0.06,2.72
0.38,-0.62,1.24,2.46,-5.07,-0.34
0.41,-0.6,1.27,2.27,-4.09,1.31
