accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.33,-0.54,1.25,33.92,-79.37,29.26
0.45,-0.62,1.2,2.37,-34.57,4.24
0.45,-0.59,1.19,4.2,0.28,-6.99
0.46,-0.57,1.22,4.26,0.1,-6.2
0.42,-0.57,1.21,13.23,0.1,-7.3
0.36,-0.55,1.18,-5.5,-4.6,-8.94
0.39,-0.55,1.19,-3.19,-15.35,-11.57
0.43,-0.57,1.2,-7.7,13.65,-7.36
0.46,-0.55,1.19,32.34,-55.81,21.27
0.3,-0.75,1.31,48.02,-96.52,39.46
0.45,-0.62,1.24,38.5,-98.23,25.79
0.56,-0.58,1.24,20.37,-95.61,12.3
0.53,-0.61,1.23,-34.74,37.51,-53.26
0.64,-0.31,1.07,-17.35,77.18,-30.86
0.46,-0.52,1.16,-0.68,-3.5,-5.83
0.34,-0.59,1.23,41.43,-57.22,-16.15
0.48,-0.55,1.18,38.81,-60.39,-6.81
0.39,-0.49,1.1,25.13,-38.36,-9.62
0.61,-0.55,1.23,19.28,-39.82,-23.47
0.37,-0.69,1.27,-6.79,-10.71,-27.13
0.63,-0.68,1.32,-44.26,67.42,-36.53
0.22,-0.45,0.96,-68.43,162.45,-25.67
-0.32,-0.13,1.82,-15.15,22.62,81.33
0.34,-0.77,1.02,-65.87,-66.31,-12.54
0.43,-0.87,1.17,-5.32,-81.14,8.94
0.38,-0.69,1.31,19.52,-33.11,-2.9
0.27,-0.65,1.16,20.25,-8.51,-0.77
0.26,-0.61,1.26,3.1,-23.28,-0.09
0.34,-0.69,1.24,7.74,-27.8,-4.18
