accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.29,-0.28,1.37,20.92,-30.18,60.53
0.26,-0.26,1.39,27.51,-23.53,59.92
0.3,-0.27,1.38,20.0,-22.0,55.77
0.26,-0.26,1.39,21.22,-9.98,48.26
0.3,-0.24,1.37,14.2,-11.32,47.65
0.29,-0.3,1.36,21.65,-16.38,52.78
0.29,-0.26,1.34,35.63,-4.6,47.41
0.22,-0.27,1.32,33.73,-3.38,43.93
0.2,-0.26,1.35,11.03,-26.46,42.28
0.08,-0.3,1.33,11.88,-7.17,29.22
0.35,-0.2,1.34,22.08,-29.2,36.73
0.26,-0.19,1.33,35.14,-26.52,48.81
0.29,-0.29,1.39,47.65,-52.76,57.66
0.28,-0.33,1.45,67.67,-82.55,77.8
0.24,-0.26,1.4,51.19,-90.24,89.46
0.33,-0.25,1.38,27.2,-38.97,56.2
0.33,-0.31,1.41,-12.65,-17.12,18.23
0.47,-0.15,1.31,-29.93,64.98,-6.0
0.29,-0.24,1.38,-8.08,40.99,21.47
0.5,-0.08,1.28,6.02,41.96,23.6
0.22,-0.24,1.34,12.49,9.31,42.28
0.17,-0.19,1.3,17.74,24.94,36.48
0.15,-0.12,1.26,49.66,-31.52,47.47
0.18,-0.33,1.42,79.88,-142.18,76.28
0.14,-0.16,1.29,64.74,-95.91,60.47
0.36,-0.25,1.38,63.52,-85.42,28.67
0.46,-0.2,1.39,31.78,-22.79,17.87
0.07,-0.21,1.33,-56.29,-13.88,54.55
0.46,-0.3,1.17,-45.49,33.73,31.29
0.28,-0.28,1.36,-4.9,58.99,40.33
0.18,-0.27,1.37,5.23,23.23,55.28
0.16,-0.26,1.36,14.57,-0.76,56.87
0.17,-0.23,1.38,19.94,-19.68,52.72
0.17,-0.3,1.38,15.67,-22.98,55.22
0.17,-0.28,1.34,20.86,-14.68,49.48
0.19,-0.28,1.37,21.95,-23.04,55.95
0.18,-0.29,1.35,21.1,-18.09,51.37
0.16,-0.28,1.36,20.31,-21.63,51.25
0.19,-0.29,1.36,21.47,-20.35,51.25
0.18,-0.27,1.37,22.75,-19.44,52.41
0.16,-0.26,1.38,17.44,-19.68,51.62
0.21,-0.29,1.36,19.57,-19.19,52.17
0.17,-0.29,1.37,19.33,-19.92,52.59
0.18,-0.27,1.37,18.72,-16.93,50.76
0.18,-0.31,1.34,16.16,-21.69,51.68
0.18,-0.28,1.36,21.4,-17.06,51.8
0.16,-0.27,1.36,17.93,-17.91,51.56
0.2,-0.29,1.37,19.39,-20.6,51.01
0.17,-0.29,1.36,20.55,-14.43,51.19
0.18,-0.29,1.37,17.32,-19.01,51.19
0.19,-0.29,1.37,20.49,-16.26,51.31
0.18,-0.28,1.38,20.0,-20.05,51.43
