accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.3,-0.66,1.19,5.9,-31.97,16.95
0.35,-0.65,1.22,-10.88,-21.78,9.69
0.33,-0.68,1.18,-2.95,-12.87,11.46
0.42,-0.68,1.16,-5.51,-15.68,11.28
0.35,-0.65,1.22,-4.29,-8.17,4.56
0.39,-0.7,1.17,-2.27,-7.8,5.3
0.34,-0.61,1.44,-2.58,-12.5,-2.09
0.39,-0.61,1.17,-9.72,-27.03,6.7
0.41,-0.66,1.19,-13.32,7.94,-4.96
0.4,-0.56,1.11,45.88,-74.76,16.47
0.46,-0.64,1.19,23.67,-36.73,18.66
0.42,-0.69,1.25,8.35,-33.13,16.47
0.19,-1.04,1.44,-41.21,34.98,-58.79
0.43,-0.46,1.06,-38.71,30.83,-52.32
0.76,-0.2,1.0,-12.04,4.16,-23.02
0.37,-0.66,1.19,-12.59,18.87,-17.65
0.51,-0.46,1.2,38.31,-42.41,21.84
0.47,-0.58,1.12,48.45,-77.69,61.26
0.5,-0.62,1.2,51.38,-36.37,61.39
0.55,-0.59,1.1,47.47,-40.03,66.57
0.64,-0.56,1.12,25.86,-20.38,33.8
0.67,-0.5,1.06,7.43,-20.44,5.11
0.49,-0.53,1.88,23.06,-1.46,7.19
0.47,-0.65,0.96,-171.04,-7.93,22.57
0.72,-0.84,1.02,-61.36,83.26,-65.87
0.54,-0.69,1.26,15.18,35.23,-32.67
0.46,-0.64,1.25,-4.78,59.03,-9.78
0.36,-0.61,1.21,3.77,2.76,2.43
0.5,-0.66,1.26,-4.47,-15.37,3.59
