accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.28,-0.18,2.4,-60.26,-3.54,-33.1
0.33,-0.23,2.41,-65.69,-5.01,-32.92
0.37,-0.23,2.39,-65.57,0.73,-31.21
0.33,-0.22,2.41,-56.9,4.52,-37.31
0.31,-0.21,2.42,-69.53,15.56,-42.87
0.39,-0.28,2.36,-66.6,8.3,-36.15
0.31,-0.25,2.37,-47.32,7.87,-33.9
0.1,0.09,2.77,-36.39,3.23,-33.47
0.3,-0.21,2.38,-68.31,-12.88,-41.4
0.26,-0.29,2.42,-63.92,-15.44,-41.1
0.42,-0.17,2.67,-49.03,15.08,-79.06
0.52,-0.23,2.52,-52.93,6.9,-34.44
0.36,-0.24,2.41,-61.97,-18.01,-25.11
0.22,-0.27,2.38,-56.9,23.13,-44.58
0.25,-0.27,2.38,-54.4,31.86,-49.22
-0.2,-0.53,2.37,-41.28,19.29,-1.36
0.06,-0.29,2.39,-40.6,-46.57,25.74
0.4,-0.22,2.34,-47.38,-4.88,21.1
0.17,-0.24,2.4,-48.36,-19.78,30.31
0.57,-0.09,2.33,-44.2,-31.56,8.16
0.34,-0.18,2.36,-58.79,3.05,-30.36
0.39,-0.17,2.36,-58.67,-33.39,-26.45
0.36,-0.13,2.35,-54.82,-22.83,-51.66
0.48,-0.19,2.3,-46.1,-40.59,-107.08
0.75,-0.11,2.45,-47.68,-10.93,-101.03
0.61,-0.1,2.45,-54.82,14.04,-65.94
0.6,-0.13,2.47,-52.08,11.23,-54.95
0.32,-0.18,2.34,-56.17,29.54,-48.3
0.41,-0.07,2.34,-51.22,65.55,-40.06
0.13,-0.04,2.35,-109.09,-5.55,-24.68
0.43,-0.31,2.21,-112.69,-11.9,-34.14
0.38,-0.29,2.37,-59.22,-0.06,-35.06
0.24,-0.19,2.43,-52.69,-3.97,-34.38
0.38,-0.26,2.37,-63.49,-1.22,-28.04
0.31,-0.21,2.4,-54.89,7.02,-36.52
0.37,-0.22,2.42,-61.72,-2.44,-34.32
