accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.86,-0.74,1.98,-3.68,13.36,10.25
-0.73,-0.85,1.91,1.94,10.19,-12.03
-0.82,-0.75,1.96,8.71,-2.63,-27.9
-0.78,-0.69,1.93,-7.03,7.87,-16.36
-0.78,-0.65,1.95,-10.88,-0.8,-5.98
-0.98,-0.75,1.96,-25.35,36.37,14.83
-0.75,-0.83,1.9,10.18,16.48,-30.34
-0.9,-0.69,1.97,1.27,19.41,-40.77
-0.98,-0.55,1.9,-6.12,-3.18,-14.71
-0.95,-0.65,2.06,-45.36,29.72,-35.34
-1.24,-0.59,2.06,-51.41,63.35,-71.96
-0.99,-0.7,1.95,-29.01,-3.54,-81.42
-0.92,-0.67,1.98,43.69,-74.34,0.3
-0.79,-0.69,1.78,129.81,-99.31,70.13
-0.67,-0.69,1.91,136.95,-33.15,69.82
-0.9,-0.77,1.76,62.18,17.82,37.35
-0.85,-0.7,1.88,-25.41,19.22,12.69
-0.8,-0.66,1.8,-45.49,-5.19,-11.84
-0.75,-0.65,1.62,-10.57,-27.53,-7.08
-0.88,-0.56,1.53,46.25,-50.54,-15.08
-0.88,-0.6,1.76,46.92,-48.28,-26.74
-0.75,-0.68,1.51,52.29,-37.91,-36.75
-0.92,-0.57,1.72,3.28,-39.49,-33.39
-0.76,-0.64,1.5,-28.64,-38.15,-30.46
-0.86,-0.63,1.61,-11.31,-15.87,-13.98
-0.88,-0.6,1.62,-5.26,16.29,-1.28
-0.72,-0.2,1.63,15.43,21.42,70.74
-0.81,-0.85,1.59,-16.98,9.4,74.28
-0.73,-0.74,1.64,-0.14,-1.9,-17.03
-0.8,-0.53,1.63,-5.87,-5.01,-7.27
