accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.34,-0.66,1.26,1.33,2.39,1.68
-0.33,-0.67,1.26,1.39,-2.06,0.21
-0.34,-0.66,1.28,0.96,-2.25,2.41
-0.32,-0.67,1.25,-2.58,-1.88,3.08
-0.33,-0.69,1.25,0.29,-3.04,0.21
-0.33,-0.68,1.26,1.51,-1.51,0.27
-0.34,-0.7,1.23,5.78,-2.19,-3.45
-0.34,-0.67,1.23,16.46,6.85,-8.76
-0.37,-0.69,1.25,22.93,10.51,-27.74
-0.43,-0.6,1.24,18.17,6.36,-8.64
-0.42,-0.62,1.21,9.08,4.71,-17.12
-0.45,-0.56,1.27,6.03,2.27,-6.81
-0.41,-0.62,1.16,6.76,-1.09,-8.39
-0.49,-0.57,1.21,-4.72,-10.97,0.82
-0.42,-0.59,1.21,-9.72,-0.78,-0.76
-0.5,-0.57,1.26,22.02,6.6,29.82
-0.47,-0.57,1.21,11.22,15.03,11.87
-0.6,-0.65,1.33,-15.09,-40.76,-39.4
-0.18,-0.45,1.0,-52.93,-27.64,-72.11
-0.36,-0.53,1.13,-9.9,-8.59,-25.85
-0.43,-0.57,1.2,4.2,16.8,-1.37
-0.49,-0.62,1.27,-0.56,-4.2,4.24
-0.42,-0.62,1.26,-25.71,-18.42,-15.47
-0.33,-0.63,1.17,-15.21,-9.45,7.6
-0.42,-0.46,1.13,32.94,9.96,59.54
-0.68,-0.61,1.35,27.45,35.11,23.71
-0.73,-0.71,1.46,-3.25,-10.06,-39.34
-0.17,-0.5,1.03,-70.33,-31.48,-95.73
-0.44,-0.49,1.12,-7.1,-12.07,-4.91
-0.39,-0.42,1.05,33.49,9.59,57.59
-0.52,-0.55,1.19,33.43,41.27,24.2
-0.67,-0.66,1.37,24.52,25.28,-30.0
-0.43,-0.55,1.15,-8.19,-17.44,-42.51
-0.51,-0.26,1.42,-13.57,-5.54,16.14
-0.62,-0.66,1.16,-32.36,-37.59,63.51
-0.45,-0.63,1.21,1.88,-19.03,28.59
-0.44,-0.57,1.23,3.65,-7.68,13.76
-0.4,-0.55,1.23,-7.58,-23.12,28.53
-0.39,-0.63,1.19,-3.07,-18.73,29.08
-0.37,-0.61,1.21,-1.66,-7.43,12.05
-0.39,-0.63,1.21,-1.66,-8.53,8.94
-0.38,-0.6,1.23,-1.66,-4.57,3.08
-0.37,-0.61,1.22,-6.18,-6.95,12.12
-0.34,-0.64,1.21,-10.39,-11.04,9.19
-0.35,-0.64,1.23,-10.39,-3.83,4.79
-0.34,-0.64,1.21,-12.34,-9.39,1.25
-0.33,-0.64,1.25,-9.35,-4.63,7.48
-0.3,-0.67,1.21,-5.81,-9.81,6.74
-0.34,-0.64,1.25,-5.57,-2.06,4.36
-0.33,-0.68,1.24,-6.67,-7.01,4.18
-0.32,-0.67,1.26,-1.36,-1.76,4.18
-0.31,-0.67,1.23,-2.15,-0.11,0.82
-0.33,-0.67,1.25,-0.75,-0.9,1.37
-0.32,-0.66,1.25,-2.46,-2.73,2.84
-0.32,-0.67,1.25,-1.6,-0.84,1.19
-0.34,-0.68,1.25,-0.69,-0.72,0.64
-0.31,-0.67,1.24,-0.87,-1.39,-0.46
