accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.37,-0.67,1.26,1.22,-1.85,-0.58
-0.37,-0.66,1.27,2.38,-0.87,-1.98
-0.37,-0.66,1.26,1.47,-2.28,0.89
-0.37,-0.66,1.26,3.24,-0.93,-0.76
-0.38,-0.68,1.29,6.35,4.8,-15.05
-0.43,-0.72,1.22,13.73,5.78,-28.9
-0.41,-0.61,1.23,20.63,10.3,-29.69
-0.46,-0.55,1.25,15.38,7.92,-17.49
-0.48,-0.55,1.25,6.53,-1.18,3.02
-0.44,-0.63,1.23,4.15,-3.74,3.63
-0.53,-0.62,1.18,15.75,-2.22,-10.41
-0.32,-0.56,0.97,33.63,-19.49,-4.24
-0.47,-0.56,1.21,-9.22,-16.68,0.82
-0.46,-0.55,1.21,12.09,-1.18,7.05
-0.5,-0.56,1.23,9.46,0.47,-3.08
-0.56,-0.6,1.3,-2.07,-16.56,-24.87
-0.45,-0.62,1.28,-27.28,-5.08,-40.99
-0.35,-0.54,1.16,-39.24,-9.66,-39.15
-0.5,-0.57,1.23,-19.96,-4.53,-6.38
-0.45,-0.54,1.18,-4.39,9.14,12.79
-0.45,-0.52,1.16,37.35,8.83,42.27
-0.47,-0.63,1.25,51.21,19.76,56.24
-0.38,-0.57,1.15,39.73,5.41,46.23
-0.53,-0.6,1.31,27.89,11.76,33.91
-0.42,-0.56,1.22,18.13,-11.61,32.75
-0.57,-0.52,1.24,-2.26,-38.78,7.05
-0.41,-0.47,1.14,-27.71,-14.54,-28.78
-0.27,-0.56,1.09,-11.23,-0.14,-19.87
-0.38,-0.54,1.13,8.18,27.33,-0.58
-0.41,-0.51,1.12,25.33,20.18,13.03
-0.49,-0.53,1.19,16.11,12.43,-4.12
-0.4,-0.62,1.25,0.73,-12.23,-23.59
-0.53,-0.58,1.27,-16.72,-18.76,-28.59
-0.32,-0.5,1.06,-36.19,-35.24,-12.42
-0.48,-0.51,1.17,-13.79,-22.91,16.51
-0.43,-0.52,1.14,-7.57,13.41,5.65
-0.5,-0.53,1.2,21.79,-3.19,6.81
-0.5,0.02,1.35,-90.45,-49.09,109.59
-0.25,-1.32,1.04,-60.24,-83.94,-7.29
-0.32,-0.67,1.16,26.12,10.54,-51.54
-0.36,-0.41,1.3,-11.72,2.36,-5.46
-0.33,-0.71,1.22,-12.51,-11.0,27.07
-0.3,-0.66,1.18,-10.68,-8.14,9.49
-0.31,-0.65,1.24,-8.18,-2.95,9.86
-0.29,-0.71,1.21,-5.13,-2.7,5.16
-0.29,-0.66,1.26,-0.49,-3.38,3.88
-0.3,-0.68,1.24,0.43,-2.09,8.45
-0.28,-0.67,1.24,-0.55,-2.28,0.15
-0.27,-0.68,1.24,0.25,-2.64,3.57
-0.29,-0.68,1.25,-1.89,-0.75,3.94
-0.31,-0.71,1.24,-0.24,-0.87,1.37
-0.3,-0.68,1.24,1.59,-3.8,1.19
