accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.49,-0.67,1.27,14.88,8.6,-8.58
-0.46,-0.58,1.26,15.43,13.24,-23.41
-0.55,-0.56,1.29,8.84,1.83,-10.28
-0.52,-0.62,1.23,4.44,-1.9,-12.6
-0.53,-0.57,1.25,10.91,-3.24,-14.8
-0.53,-0.55,1.25,9.39,0.85,-16.94
-0.54,-0.56,1.23,10.73,-3.48,-7.72
-0.55,-0.42,1.16,-7.28,-11.17,-3.75
-0.42,-0.58,1.2,-5.08,-10.56,1.92
-0.58,-0.54,1.24,3.77,-1.9,11.93
-0.48,-0.47,1.1,13.72,10.56,16.88
-0.57,-0.55,1.24,9.26,6.83,4.12
-0.57,-0.57,1.27,3.77,-28.63,-13.46
-0.64,-0.6,1.32,-27.91,-13.98,-41.6
-0.51,-0.49,1.14,-15.33,-15.08,-33.17
-0.47,-0.54,1.16,-2.82,0.48,-20.17
-0.57,-0.53,1.19,8.04,20.87,3.51
-0.59,-0.59,1.29,0.66,3.11,1.68
-0.81,-0.83,1.68,14.94,-32.84,-2.23
-0.57,-0.45,1.14,-14.42,-14.41,-5.46
-0.45,-0.56,1.18,2.43,-3.85,15.35
-0.47,-0.45,1.04,42.53,17.7,57.65
-0.56,-0.55,1.23,46.68,35.76,33.84
-0.68,-0.57,1.33,16.04,5.98,-0.34
-0.73,-0.56,1.34,-20.95,-38.39,-59.72
-0.48,-0.53,1.18,-16.92,-8.61,-36.71
-0.58,-0.51,1.18,1.02,-1.59,0.76
-0.35,-0.51,1.08,6.76,0.48,8.58
-0.7,-0.41,1.25,-31.2,-42.06,64.54
-0.41,-0.78,1.12,-9.9,-23.32,21.94
-0.54,-0.48,1.24,6.33,-9.16,-2.72
-0.49,-0.56,1.2,-2.03,-12.45,14.74
-0.49,-0.58,1.22,-3.43,-9.16,5.28
-0.48,-0.55,1.19,-5.02,-5.8,6.62
-0.47,-0.58,1.21,-4.04,-8.12,9.0
-0.46,-0.6,1.18,-1.78,-7.45,2.23
-0.47,-0.57,1.22,2.0,-0.06,-1.37
-0.46,-0.58,1.21,-0.08,-4.46,1.19
