accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.44,-0.6,1.26,12.53,2.35,-10.32
-0.51,-0.6,1.26,9.84,-0.22,-2.32
-0.45,-0.63,1.27,14.3,11.01,-23.62
-0.51,-0.51,1.26,9.23,1.31,-12.09
-0.57,-0.62,1.22,10.94,-0.1,-15.08
-0.58,-0.54,1.23,-4.01,-5.16,0.67
-0.46,-0.55,1.2,-3.46,-14.07,6.04
-0.46,-0.45,1.05,27.05,-0.1,28.08
-0.64,-0.56,1.31,27.05,25.23,21.85
-0.65,-0.59,1.35,11.92,-8.64,-4.64
-0.58,-0.54,1.19,-58.27,-43.25,-66.96
-0.4,-0.47,1.05,-19.76,-10.72,-31.31
-0.47,-0.57,1.23,18.39,25.36,3.84
-0.63,-0.66,1.41,5.51,3.93,5.49
-0.55,-0.58,1.28,-25.5,-28.35,-23.07
-0.5,-0.55,1.2,-14.27,-25.73,-6.53
-0.49,-0.55,1.22,9.72,-4.0,25.88
-0.57,-0.48,1.16,43.35,28.9,42.11
-0.62,-0.55,1.28,25.83,27.49,12.21
-0.82,-0.57,1.43,6.55,-21.34,-28.87
-0.49,-0.56,1.21,-71.64,-16.94,-100.4
-0.65,-0.64,1.34,-77.99,-53.01,-99.49
-0.61,-0.52,1.23,-14.94,-7.66,-15.69
-0.36,-0.49,1.13,-12.25,12.72,18.98
-0.63,-0.43,1.17,50.06,7.47,76.17
-0.8,-0.58,1.44,86.69,31.7,78.73
-0.6,-0.51,1.23,26.51,27.13,8.54
-0.82,-0.56,1.42,11.06,-32.08,-25.21
-0.57,-0.52,1.25,-23.54,-1.19,-51.33
-0.5,-0.06,1.36,-37.58,-47.09,45.96
-0.68,-0.95,1.14,-28.12,-41.6,59.45
-0.5,-0.56,1.25,9.35,-3.09,-13.0
-0.48,-0.46,1.26,-5.23,-13.83,11.78
-0.46,-0.65,1.23,-6.88,-16.39,7.26
-0.49,-0.54,1.26,-5.97,-4.37,2.01
-0.52,-0.6,1.24,-8.41,-9.8,6.16
-0.47,-0.58,1.24,-0.17,-2.78,-0.79
-0.48,-0.57,1.25,-2.49,-6.32,8.24
-0.48,-0.62,1.25,0.32,-4.25,3.72
-0.46,-0.58,1.25,-1.02,-4.06,1.34
