accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.53,-0.54,1.21,1.86,-9.68,0.46
-0.51,-0.51,1.21,3.82,-5.71,-5.04
-0.53,-0.52,1.21,3.76,-8.09,-1.13
-0.52,-0.53,1.19,1.07,-7.54,-7.97
-0.55,-0.55,1.21,0.77,-9.68,-17.98
-0.56,-0.5,1.22,8.52,-1.5,-14.68
-0.55,-0.53,1.19,11.51,-3.15,-10.35
-0.54,-0.43,1.13,-3.93,-5.71,-1.31
-0.55,-0.5,1.2,-11.38,-0.71,-0.64
-0.72,-0.54,1.36,22.31,11.74,17.3
-0.63,-0.53,1.3,14.38,-22.07,-15.54
-0.51,-0.49,1.2,-43.18,-28.17,-72.3
-0.45,-0.5,1.14,-36.89,-43.8,-46.66
-0.57,-0.5,1.2,-8.15,4.42,-0.95
-0.56,-0.47,1.18,23.23,4.54,39.7
-0.76,-0.47,1.29,68.51,23.83,60.21
-0.74,-0.52,1.38,42.02,23.95,27.92
-0.69,-0.51,1.31,14.74,-21.7,-27.19
-0.41,-0.48,1.13,-44.03,-32.87,-79.99
-0.46,-0.45,1.12,-28.47,-27.56,-47.7
-0.62,-0.47,1.19,0.09,-1.93,-3.88
-0.63,-0.49,1.24,-0.09,-0.4,-1.38
-0.65,-0.49,1.24,-0.88,0.7,-2.23
-0.73,-0.48,1.26,16.57,-13.34,12.66
-0.67,-0.32,1.3,-49.89,-54.11,59.72
-0.48,-0.8,1.15,-11.99,-32.63,29.14
-0.52,-0.49,1.24,8.15,-7.6,-7.42
-0.55,-0.48,1.28,-1.62,-12.61,21.02
-0.49,-0.61,1.26,-3.69,-14.56,12.54
-0.5,-0.57,1.27,0.77,-12.43,6.68
-0.47,-0.56,1.22,1.74,-8.83,-0.09
-0.49,-0.55,1.26,3.02,-7.97,2.04
-0.47,-0.57,1.25,1.74,-8.34,3.75
-0.49,-0.59,1.25,0.15,-9.01,2.04
