accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.5,-0.59,1.25,4.32,-1.04,-16.86
-0.5,-0.58,1.31,8.78,1.52,-11.98
-0.54,-0.61,1.24,2.79,-6.72,-19.85
-0.52,-0.5,1.22,4.87,2.56,-20.46
-0.62,-0.56,1.29,14.02,-0.86,-15.09
-0.51,-0.58,1.17,17.26,0.12,-16.07
-0.66,-0.49,1.23,-5.26,-8.06,2.91
-0.51,-0.49,1.17,12.74,4.33,18.29
-0.67,-0.51,1.29,21.04,14.22,2.49
-0.72,-0.65,1.47,4.93,-4.4,-45.67
-0.53,-0.66,1.34,-52.08,-25.27,-84.98
-0.31,-0.27,0.9,-59.95,-24.11,-52.93
-0.57,-0.56,1.27,-9.23,8.54,9.38
-0.55,-0.45,1.18,38.38,17.15,67.49
-0.67,-0.53,1.26,65.05,23.62,73.23
-0.59,-0.59,1.33,62.49,21.18,64.74
-0.56,-0.57,1.26,51.07,9.76,54.37
-0.54,-0.54,1.27,20.74,-21.37,22.14
-0.63,-0.51,1.3,-26.2,-44.38,-13.14
-0.45,-0.46,1.06,-28.15,-14.41,-33.53
-0.45,-0.5,1.15,0.66,16.66,-6.49
-0.43,-0.21,1.31,-23.33,-22.53,35.99
-0.42,-0.82,1.04,-12.95,-26.0,-3.01
-0.49,-0.51,1.21,10.91,5.06,-21.56
-0.5,-0.5,1.22,-5.02,-7.45,0.78
-0.46,-0.57,1.19,0.96,2.26,-7.46
-0.47,-0.49,1.22,-0.44,-1.28,-6.55
-0.48,-0.53,1.19,-5.69,-8.43,-0.32
-0.47,-0.53,1.21,-2.39,-6.72,2.85
-0.47,-0.53,1.2,-4.96,-8.61,4.19
-0.47,-0.54,1.21,-6.12,-8.18,12.43
-0.45,-0.59,1.21,-3.92,-8.3,10.05
-0.43,-0.59,1.19,0.66,-0.13,1.08
