accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.43,-0.66,1.26,7.33,3.52,-8.12
-0.43,-0.65,1.27,11.6,7.31,-11.05
-0.46,-0.64,1.21,15.02,4.86,-13.0
-0.47,-0.62,1.21,15.63,16.58,-21.18
-0.57,-0.61,1.31,21.06,17.01,-23.32
-0.37,-0.43,1.66,-3.29,-13.2,-13.61
-0.51,-0.55,1.23,-5.61,-4.9,2.44
-0.45,-0.5,1.12,22.77,6.7,26.37
-0.62,-0.55,1.28,20.81,20.06,16.23
-0.57,-0.59,1.31,8.12,-6.73,-13.0
-0.67,-0.6,1.38,-41.99,-34.87,-59.69
-0.51,-0.5,1.18,-18.25,-6.79,-35.77
-0.5,-0.52,1.18,1.16,23.18,-10.5
-0.64,-0.63,1.35,24.29,17.93,20.57
-0.59,-0.55,1.27,10.38,-19.31,-1.47
-0.5,-0.56,1.22,-35.95,-40.12,-34.18
-0.45,-0.59,1.22,-9.76,-8.87,3.72
-0.46,-0.45,1.08,26.98,13.1,45.78
-0.84,-0.57,1.43,45.23,43.26,40.71
-0.58,-0.59,1.32,11.29,11.03,-9.52
-0.65,-0.63,1.38,-34.0,-27.18,-65.92
-0.35,-0.47,1.06,-16.17,-15.89,-27.71
-0.54,-0.54,1.23,-9.95,11.58,2.07
-0.51,-0.55,1.19,49.26,22.5,62.13
-0.51,-0.46,1.14,105.35,56.07,110.35
-0.71,-0.54,1.42,58.35,43.99,55.48
-0.51,-0.52,1.17,10.62,-16.13,3.84
-0.68,-0.61,1.47,-25.51,-28.77,-26.98
-0.14,-0.47,0.87,-95.21,-97.61,-48.34
-0.42,-0.52,1.08,-17.15,-13.87,16.91
-0.43,-0.47,1.05,23.07,16.58,31.07
-0.61,-0.51,1.32,27.28,6.45,14.16
-0.59,-0.49,1.22,4.88,11.33,-37.6
-0.36,-0.55,1.19,-14.34,-1.3,-65.49
-0.42,-0.59,1.21,-19.53,-3.8,-59.45
-0.52,-0.53,1.19,-1.59,-8.69,-19.53
-0.52,-0.49,1.16,-8.36,0.1,-23.01
-0.69,-0.31,1.38,-44.74,-57.94,74.83
-0.37,-1.05,0.96,-21.3,-51.41,20.81
-0.48,-0.53,1.27,16.3,7.61,-34.12
-0.46,-0.48,1.2,-7.69,-6.43,6.16
-0.45,-0.61,1.22,-10.56,-5.27,24.84
-0.44,-0.63,1.18,-8.42,-3.92,7.26
-0.45,-0.59,1.25,-1.52,-1.85,3.97
-0.45,-0.63,1.25,-3.29,-4.29,2.32
