accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.39,-0.62,1.28,14.92,10.23,-25.82
-0.44,-0.53,1.26,1.68,-0.57,-12.76
-0.43,-0.64,1.28,-3.57,-8.63,-1.89
-0.44,-0.6,1.22,1.56,-7.04,-4.88
-0.43,-0.66,1.18,4.3,-5.27,-9.03
-0.46,-0.6,1.21,17.73,2.67,-19.35
-0.46,-0.57,1.18,-1.74,-4.9,7.69
-0.39,-0.57,1.2,-2.53,11.03,5.43
-0.51,-0.6,1.29,17.43,9.26,2.07
-0.5,-0.61,1.3,8.88,-0.02,-17.88
-0.39,-0.58,1.19,-27.01,-3.19,-51.88
-0.51,-0.59,1.32,-53.44,-37.25,-66.53
-0.52,-0.5,1.17,-34.39,-6.37,-23.62
-0.53,-0.52,1.21,-12.48,8.1,0.06
-0.52,-0.5,1.2,31.89,25.07,57.74
-0.44,-0.63,1.28,82.67,15.36,95.58
-0.45,-0.6,1.24,67.66,24.21,68.91
-0.53,-0.59,1.27,32.68,12.74,33.69
-0.42,-0.57,1.18,6.93,-19.37,1.71
-0.56,-0.5,1.22,-37.81,-28.1,-49.5
-0.33,-0.56,1.11,-27.74,-12.84,-54.57
-0.35,-0.57,1.15,-4.61,2.36,-18.68
-0.38,-0.51,1.1,8.52,23.3,4.76
-0.57,-0.55,1.27,44.71,32.7,48.46
-0.56,-0.53,1.2,18.59,17.93,10.74
-0.64,-0.57,1.32,-8.09,-41.77,-42.24
-0.55,-0.67,1.35,-38.18,-56.66,-59.27
-0.44,-0.48,1.07,-10.71,-8.01,-11.35
-0.47,-0.51,1.13,10.77,13.41,27.83
-0.42,-0.27,1.47,-15.04,-23.46,31.55
-0.41,-0.75,1.13,-20.17,-35.48,29.72
-0.41,-0.58,1.19,9.98,0.71,-11.11
-0.45,-0.53,1.23,2.35,-4.96,10.44
-0.42,-0.62,1.19,-1.86,-3.13,7.02
-0.43,-0.57,1.21,-0.76,-3.8,1.1
-0.42,-0.58,1.22,-3.57,-6.43,3.36
-0.42,-0.59,1.21,-2.47,-5.02,6.59
-0.42,-0.59,1.21,-0.88,-4.6,4.33
-0.41,-0.59,1.21,-1.92,-5.45,0.49
-0.41,-0.6,1.2,-4.49,-10.52,2.93
-0.39,-0.61,1.19,-1.98,-3.01,2.68
-0.4,-0.6,1.22,-2.17,-4.66,1.77
-0.4,-0.6,1.21,-0.64,-3.44,2.2
