accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.04,-0.85,1.2,10.11,-19.51,-6.66
-0.03,-0.86,1.22,15.05,-14.45,-19.41
-0.04,-0.77,1.22,19.08,-13.23,-22.89
-0.06,-0.78,1.2,24.08,-4.99,-19.29
-0.11,-0.78,1.19,22.86,-5.35,-25.82
0.06,-0.46,1.51,29.33,-4.5,-23.5
-0.11,-0.75,1.21,-5.52,-6.21,-1.04
-0.28,-0.74,1.34,25.37,3.07,5.92
-0.2,-0.79,1.34,9.44,-36.91,-26.43
-0.15,-0.75,1.25,-52.09,-22.38,-78.25
-0.1,-0.78,1.23,-47.57,-56.07,-64.03
-0.21,-0.72,1.22,3.39,-15.36,-4.58
-0.09,-0.73,1.19,25.79,-8.95,33.75
-0.33,-0.73,1.35,73.64,15.52,62.5
-0.26,-0.74,1.29,32.75,17.11,10.43
-0.26,-0.77,1.33,20.97,-30.81,-14.28
-0.05,-0.7,1.15,-23.89,-34.83,-55.67
-0.07,-0.7,1.13,-6.37,-36.73,-28.63
-0.31,-0.8,1.37,4.8,-19.21,-15.26
-0.34,-0.85,1.41,-48.85,-98.31,28.32
-0.18,-0.91,1.29,-30.18,-61.93,-36.87
-0.12,-0.73,1.16,4.37,-18.66,-45.84
-0.25,-0.68,1.2,-13.7,-30.07,-13.55
-0.29,-0.77,1.33,17.25,0.26,20.02
-0.3,-0.9,1.48,22.8,-16.58,-8.79
-0.12,-0.89,1.36,-13.33,-43.44,-34.49
-0.15,-0.74,1.22,-7.23,5.14,0.36
-0.3,-0.77,1.35,55.94,-19.51,25.51
-0.42,-0.79,1.31,-21.2,-74.93,80.99
0.06,-1.06,1.15,5.53,-41.06,-11.6
-0.14,-0.68,1.32,20.12,-17.13,-2.75
-0.1,-0.89,1.27,4.37,-22.08,14.58
-0.09,-0.78,1.31,9.74,-15.18,2.13
-0.13,-0.83,1.32,1.38,-26.41,14.22
-0.09,-0.86,1.29,8.09,-24.46,0.24
-0.07,-0.83,1.3,6.75,-26.96,4.03
-0.08,-0.84,1.31,10.29,-20.31,4.64
