accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.46,-0.7,1.34,7.17,-2.32,-2.08
-0.45,-0.71,1.32,8.64,-3.18,-2.99
-0.51,-0.68,1.29,24.69,1.77,5.49
-0.49,-0.64,1.36,27.25,17.82,-5.31
-0.52,-0.68,1.28,20.05,6.89,-10.86
-0.53,-0.59,1.35,16.88,6.59,-11.72
-0.53,-0.62,1.3,6.87,-2.2,-9.34
-0.54,-0.63,1.28,7.84,0.55,-19.78
-0.61,-0.58,1.3,0.03,-4.28,-0.49
-0.53,-0.6,1.3,-12.48,12.88,1.04
-0.65,-0.6,1.36,9.92,16.11,7.81
-0.71,-0.58,1.41,4.73,-5.5,-17.09
-0.52,-0.65,1.35,-30.61,6.53,-47.24
-0.59,-0.61,1.32,-23.71,-8.43,-38.27
-0.5,-0.55,1.21,-9.67,-7.82,-16.6
-0.62,-0.61,1.35,-4.85,13.55,0.85
-0.56,-0.6,1.3,33.17,7.5,41.14
-0.51,-0.49,1.14,64.3,9.95,71.17
-0.56,-0.61,1.41,109.16,22.52,90.03
-0.63,-0.62,1.5,69.73,40.95,51.51
-0.59,-0.56,1.25,20.6,35.52,14.59
-0.58,-0.61,1.34,-23.47,-18.07,-25.88
-0.59,-0.63,1.41,-59.29,-46.88,-43.58
-0.45,-0.7,1.3,-46.48,-59.94,-20.14
-0.53,-0.5,1.2,-27.68,-44.99,3.23
-0.64,-0.54,1.31,22.62,16.84,24.35
-0.6,-0.54,1.29,21.82,21.05,4.76
-0.85,-0.54,1.46,-4.73,0.55,-49.68
-0.41,-0.66,1.35,-21.82,2.56,-62.68
-0.49,-0.57,1.26,-13.46,-11.6,-40.71
-0.69,-0.18,1.64,-33.29,-28.2,44.01
-0.48,-0.93,1.02,-87.49,-106.45,-5.19
-0.53,-0.65,1.25,-26.09,-16.79,-52.43
-0.51,-0.54,1.14,-1.37,16.23,-53.34
-0.72,-0.57,1.34,-12.17,-1.22,-4.82
-0.67,-0.58,1.35,13.15,18.37,20.45
-0.75,-0.73,1.57,0.58,-21.0,-18.31
-0.54,-0.56,1.25,-10.47,-6.66,-10.5
-0.85,-0.7,1.57,26.89,10.92,33.14
-0.67,-0.64,1.44,15.23,-24.17,-2.2
-0.57,-0.49,1.18,9.74,11.47,4.27
-0.69,-0.81,1.29,-18.28,-38.15,49.13
-0.52,-0.75,1.29,12.67,7.63,-8.06
-0.56,-0.55,1.41,13.89,2.32,6.9
-0.52,-0.71,1.32,0.34,-7.69,15.62
-0.57,-0.6,1.38,2.23,-0.74,4.46
-0.56,-0.61,1.37,-1.74,-13.49,30.33
-0.52,-0.72,1.33,1.92,-4.76,6.35
-0.52,-0.61,1.36,1.44,-4.58,4.64
-0.53,-0.69,1.35,0.22,-11.66,17.27
-0.5,-0.68,1.34,2.78,-3.42,2.38
-0.49,-0.66,1.34,1.31,-4.58,4.64
-0.49,-0.67,1.35,3.08,-0.86,2.32
-0.49,-0.67,1.34,3.02,-3.05,1.59
-0.5,-0.66,1.36,4.55,-0.86,2.5
