accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.64,-0.57,1.35,1.07,3.58,-16.37
-0.63,-0.53,1.36,1.8,1.51,-13.02
-0.66,-0.54,1.39,6.13,2.24,-9.35
-0.67,-0.53,1.31,12.73,2.0,-12.41
-0.69,-0.56,1.31,15.53,3.89,-22.23
-0.71,-0.49,1.33,-8.7,5.11,1.14
-0.74,-0.48,1.34,9.19,15.18,5.42
-0.88,-0.52,1.52,-0.76,-0.26,-26.51
-0.78,-0.54,1.41,-30.36,16.03,-60.69
-0.74,-0.69,1.55,-64.67,3.09,-89.13
-0.7,-0.39,1.27,-66.37,-1.36,-62.03
-0.83,-0.42,1.35,-19.87,4.8,-10.88
-0.62,-0.35,1.21,20.17,9.75,70.42
-0.81,-0.47,1.39,88.41,-2.64,104.17
-0.87,-0.53,1.48,102.69,11.64,98.56
-0.77,-0.46,1.35,78.52,10.11,67.06
-0.88,-0.51,1.52,23.35,9.87,15.85
-0.92,-0.56,1.62,-37.02,-12.47,-49.52
-0.72,-0.43,1.33,-71.69,-29.38,-92.48
-0.66,-0.48,1.32,-43.91,-15.34,-69.6
-0.69,-0.45,1.29,-23.22,-13.08,-47.99
-0.84,-0.46,1.38,0.52,8.4,-8.81
-0.71,-0.4,1.25,2.47,17.93,5.72
-0.75,-0.53,1.41,21.15,9.2,53.27
-0.98,-0.53,1.52,11.51,-9.36,33.13
-0.86,-0.34,1.29,-0.88,-29.8,2.43
-0.72,-0.47,1.34,-12.11,-11.31,-21.13
-0.71,-0.49,1.34,11.02,24.76,0.72
-0.73,-0.46,1.36,40.13,45.64,28.98
-0.99,-0.57,1.61,32.26,29.77,10.12
-0.85,-0.53,1.47,-4.73,-33.47,-35.42
-0.58,-0.39,1.17,-25.85,-33.53,-38.9
-0.78,-0.45,1.34,-4.12,7.12,-0.38
-0.63,-0.4,1.36,26.89,-12.84,11.64
-0.87,-0.4,1.34,-23.28,-54.83,66.27
-0.64,-0.71,1.24,-1.8,-29.74,-3.19
-0.73,-0.38,1.35,1.19,-6.92,-10.82
-0.74,-0.51,1.35,-5.77,-16.38,9.02
-0.69,-0.51,1.35,-5.52,-11.8,-5.94
-0.7,-0.46,1.35,-5.16,-10.94,1.08
-0.68,-0.51,1.32,-5.77,-10.64,2.43
-0.69,-0.49,1.34,-1.49,-1.79,0.11
-0.69,-0.49,1.35,-2.78,-5.51,3.65
