accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.46,-0.67,1.34,1.53,-0.43,-2.15
-0.47,-0.67,1.35,2.26,-0.98,0.96
-0.47,-0.68,1.34,0.31,-0.25,-2.15
-0.47,-0.68,1.34,0.86,-0.55,0.35
-0.45,-0.67,1.33,3.36,1.58,-0.75
-0.43,-0.69,1.32,21.06,-4.58,7.8
-0.49,-0.65,1.32,29.6,9.46,8.71
-0.47,-0.67,1.36,21.61,8.91,5.97
-0.49,-0.65,1.36,15.38,3.35,-1.85
-0.47,-0.66,1.29,12.27,6.22,-10.21
-0.46,-0.63,1.26,6.9,4.94,-14.24
-0.53,-0.62,1.33,4.09,0.97,-3.19
-0.49,-0.69,1.29,9.52,8.05,-11.55
-0.54,-0.61,1.3,11.41,11.23,-31.02
-0.54,-0.48,1.18,-10.25,6.1,-3.92
-0.51,-0.59,1.29,-8.42,15.38,2.67
-0.65,-0.56,1.35,4.21,12.82,2.49
-0.68,-0.7,1.54,-49.68,-3.42,-65.32
-0.61,-0.71,1.46,-81.42,-3.97,-101.76
-0.41,-0.46,1.13,-61.89,-17.09,-71.92
-0.64,-0.62,1.4,-27.46,-19.53,-21.13
-0.61,-0.61,1.36,-14.53,19.28,15.3
-0.68,-0.57,1.36,35.04,6.47,49.61
-0.64,-0.61,1.34,92.53,11.66,80.06
-0.7,-0.67,1.55,65.68,40.95,47.84
-0.7,-0.61,1.44,33.69,33.69,17.01
-0.54,-0.71,1.43,13.12,-8.3,-13.69
-0.63,-0.61,1.36,-13.79,-27.77,-34.56
-0.53,-0.56,1.24,-25.39,-18.01,-36.33
-0.58,-0.56,1.3,0.31,-5.07,-1.73
-0.65,-0.56,1.31,10.38,17.33,-8.07
-0.66,-0.71,1.29,-38.88,-68.85,67.92
-0.51,-0.74,1.25,-5.31,-14.22,-10.39
-0.57,-0.54,1.36,-5.8,-8.73,1.94
-0.54,-0.66,1.32,-1.04,-4.27,16.77
-0.52,-0.65,1.34,2.44,2.26,2.67
-0.53,-0.62,1.35,2.93,-1.83,6.7
-0.51,-0.67,1.33,0.98,2.87,-3.86
-0.53,-0.61,1.35,2.44,3.6,-2.27
-0.52,-0.63,1.32,2.87,-0.06,2.97
-0.52,-0.64,1.35,6.59,-4.89,7.49
-0.51,-0.65,1.33,1.1,0.24,1.08
-0.53,-0.63,1.36,1.65,-0.12,-0.02
-0.51,-0.64,1.33,1.53,-0.19,-0.93
-0.51,-0.63,1.34,4.03,-2.02,2.49
