accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.53,-0.72,1.45,21.4,24.37,-7.49
-0.61,-0.65,1.47,14.19,11.3,-10.18
-0.62,-0.64,1.48,18.77,3.43,3.68
-0.6,-0.6,1.43,15.23,12.59,-16.22
-0.67,-0.64,1.44,11.69,8.01,-8.53
-0.64,-0.66,1.47,-3.63,3.98,5.02
-0.72,-0.68,1.56,-19.62,-14.27,-7.49
-0.77,-0.56,1.48,-44.95,-8.04,-43.68
-0.43,-0.59,1.3,-13.27,-12.01,-24.64
-0.67,-0.56,1.4,10.1,59.4,5.45
-0.58,-0.64,1.38,67.48,44.38,69.23
-0.75,-0.69,1.52,55.7,26.32,54.09
-0.72,-0.65,1.5,9.86,-19.46,8.26
-0.77,-0.72,1.6,-71.13,-23.0,-75.91
-0.58,-0.54,1.34,-36.71,-44.73,-58.45
-0.65,-0.59,1.42,-14.0,-9.2,-39.47
-0.69,-0.59,1.43,6.87,31.63,3.43
-0.71,-0.61,1.47,42.09,27.6,48.84
-0.84,-0.67,1.59,35.86,24.37,40.36
-0.76,-0.63,1.51,15.66,-33.43,3.62
-0.9,-0.72,1.69,-33.9,-53.09,-55.16
-0.64,-0.5,1.31,-17.0,-27.45,-35.57
-0.73,-0.6,1.46,-4.18,-4.99,-19.33
-0.73,-0.59,1.46,3.57,16.92,0.51
-0.71,-0.57,1.42,39.89,28.45,44.33
-0.82,-0.6,1.55,42.64,44.02,33.89
-0.81,-0.65,1.55,20.17,34.01,4.84
-0.91,-0.7,1.66,1.8,-39.48,-34.22
-0.83,-0.62,1.53,-19.8,-34.29,-36.36
-0.66,-0.57,1.4,-38.42,-47.9,-43.75
-0.8,-0.57,1.45,-6.99,13.62,2.95
-0.79,-0.5,1.37,27.19,-17.14,35.48
-0.88,-0.63,1.53,-13.46,-58.4,86.44
-0.59,-0.83,1.38,5.65,-22.14,14.05
-0.69,-0.56,1.48,9.01,-0.96,-5.54
-0.69,-0.63,1.46,1.68,-13.29,22.42
-0.64,-0.67,1.44,5.53,-4.02,7.4
-0.66,-0.59,1.49,3.76,-5.36,14.3
-0.64,-0.68,1.44,0.89,-5.97,15.21
-0.64,-0.64,1.46,3.15,0.2,4.11
