accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.5,-0.73,1.4,-6.88,-1.51,-15.61
-0.5,-0.7,1.38,-7.8,-2.8,-23.48
-0.52,-0.7,1.39,-11.52,-4.02,-22.81
-0.52,-0.67,1.36,0.2,-9.94,-11.58
-0.51,-0.67,1.39,1.91,-20.62,-6.52
-0.53,-0.69,1.36,5.27,-18.85,-2.61
-0.54,-0.67,1.26,17.96,11.55,-19.46
-0.55,-0.63,1.34,20.22,27.42,-38.44
-0.62,-0.64,1.4,-8.41,10.63,0.38
-0.6,-0.67,1.45,-40.45,-5.54,-26.54
-0.6,-0.61,1.4,-55.95,20.95,-63.71
-0.44,-0.62,1.28,-6.45,-8.72,-23.36
-0.52,-0.53,1.22,29.01,39.07,21.62
-0.65,-0.64,1.46,92.36,36.88,93.89
-0.75,-0.73,1.66,35.17,30.83,34.38
-0.66,-0.65,1.43,24.49,-71.95,2.94
-0.68,-0.68,1.44,-61.75,-51.99,-66.64
-0.65,-0.63,1.4,-35.51,-43.02,-56.14
-0.6,-0.62,1.37,-10.36,12.46,-26.41
-0.62,-0.59,1.35,15.09,21.8,0.62
-0.58,-0.57,1.35,50.74,39.2,42.25
-0.74,-0.68,1.55,49.58,54.82,31.75
-0.72,-0.69,1.52,21.44,15.88,2.39
-0.83,-0.68,1.56,8.13,-52.23,-30.32
-0.72,-0.67,1.5,-20.92,-45.52,-38.74
-0.55,-0.51,1.22,-50.76,-51.2,-54.49
-0.69,-0.57,1.34,-23.73,-3.16,-13.54
-0.61,-0.52,1.26,1.42,10.82,27.05
-0.66,-0.38,1.87,24.0,-29.16,46.89
-0.6,-0.78,1.32,-7.25,-34.78,38.71
-0.57,-0.64,1.36,3.37,3.98,-12.93
-0.59,-0.59,1.41,-0.84,-9.51,13.2
-0.56,-0.7,1.36,0.14,-10.85,7.52
-0.57,-0.61,1.38,0.93,-3.04,-0.96
-0.57,-0.63,1.39,0.69,-7.56,13.32
