accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.48,-0.69,1.37,-2.24,0.09,-8.42
-0.49,-0.68,1.36,1.91,-4.98,-5.43
-0.47,-0.71,1.31,8.13,0.27,-11.05
-0.54,-0.66,1.35,8.68,0.33,-8.79
-0.5,-0.68,1.31,11.06,11.32,-22.58
-0.55,-0.65,1.37,-5.78,6.13,3.36
-0.55,-0.63,1.34,9.05,42.63,12.14
-0.61,-0.66,1.42,15.76,20.72,3.05
-0.6,-0.69,1.48,-7.31,-13.71,-19.72
-0.65,-0.73,1.47,-60.41,-25.24,-54.75
-0.6,-0.55,1.31,-25.68,-7.54,-44.98
-0.53,-0.61,1.33,0.87,26.33,-20.69
-0.65,-0.73,1.54,16.07,24.14,6.59
-0.64,-0.65,1.44,2.95,-14.25,-4.4
-0.56,-0.74,1.48,-35.2,-24.81,-15.99
-0.61,-0.59,1.37,-10.24,16.51,13.3
-0.65,-0.51,1.31,58.85,36.1,60.36
-0.74,-0.71,1.59,37.86,29.81,11.66
-0.63,-0.72,1.54,-12.99,-18.53,-46.63
-0.58,-0.79,1.55,-63.83,-41.72,-70.98
-0.59,-0.58,1.33,-41.98,-22.31,-34.97
-0.65,-0.57,1.37,-14.27,7.41,5.31
-0.67,-0.53,1.35,28.88,33.41,38.45
-0.78,-0.68,1.54,38.65,30.36,22.77
-0.74,-0.68,1.52,14.3,10.65,-17.52
-0.68,-0.7,1.49,-9.87,-34.33,-39.49
-0.6,-0.61,1.37,-16.46,-24.94,-28.38
-0.68,-0.63,1.42,0.87,-8.52,-0.37
-0.7,-0.45,1.53,-10.12,-43.31,64.94
-0.53,-0.89,1.33,6.61,-43.98,46.45
-0.56,-0.63,1.4,6.97,3.93,-13.25
-0.56,-0.58,1.44,-1.21,-7.78,16.23
-0.54,-0.7,1.35,-2.67,-20.72,34.97
-0.52,-0.72,1.37,0.14,-4.61,9.76
-0.52,-0.67,1.4,-1.14,-3.33,2.5
