accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.53,-0.65,1.41,-2.96,2.0,-19.12
-0.53,-0.68,1.41,4.12,-9.91,5.17
-0.52,-0.72,1.39,9.37,-3.74,-4.59
-0.36,-0.68,1.62,-3.02,7.49,-10.76
-0.62,-0.65,1.43,-0.58,12.43,1.57
-0.57,-0.76,1.53,5.59,-19.0,-30.59
-0.46,-0.77,1.48,-31.34,-50.01,-66.18
-0.51,-0.71,1.41,-85.72,-48.91,-80.89
-0.57,-0.55,1.3,-41.59,14.69,-34.26
-0.49,-0.58,1.29,-1.56,29.28,39.11
-0.59,-0.48,1.2,126.07,31.35,139.75
-0.45,-0.72,1.41,134.31,43.07,112.9
-0.59,-0.78,1.56,92.26,3.34,81.16
-0.62,-0.66,1.52,37.32,-37.86,30.62
-0.49,-0.55,1.21,-24.2,3.22,-4.96
-0.6,-0.64,1.39,-62.53,-22.85,-46.28
-0.61,-0.67,1.42,-58.01,5.6,-60.93
-0.34,-0.67,1.28,-55.33,-13.39,-69.72
-0.52,-0.6,1.31,-57.95,-28.83,-71.49
-0.63,-0.66,1.42,-17.42,-17.66,-40.48
-0.61,-0.68,1.43,-5.34,-18.51,-33.77
-0.61,-0.67,1.43,0.21,-5.45,-20.1
-0.61,-0.69,1.46,10.41,25.19,-0.99
-0.53,-0.63,1.34,33.23,10.17,29.04
-0.48,-0.72,1.39,27.07,12.68,43.32
-0.86,-0.63,1.56,0.58,-9.78,10.3
-0.61,-0.68,1.45,-4.61,-14.24,1.2
-0.58,-0.67,1.41,3.45,-7.04,-1.36
-0.74,-0.52,1.6,-15.78,-70.33,101.06
-0.29,-0.98,1.22,-4.85,-50.92,21.1
-0.45,-0.68,1.36,12.97,8.22,-36.09
-0.51,-0.63,1.43,2.6,-9.72,1.33
-0.44,-0.76,1.35,-0.15,-7.22,4.68
