accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.72,1.38,-1.56,-7.24,-4.21
-0.52,-0.7,1.38,-1.49,2.04,-22.22
-0.56,-0.66,1.39,1.07,-4.8,-20.26
-0.61,-0.68,1.42,-11.2,1.98,6.53
-0.59,-0.74,1.51,-27.68,-18.96,-37.41
-0.54,-0.62,1.37,-39.52,-15.6,-33.63
-0.49,-0.69,1.37,-32.2,-19.38,-5.49
-0.55,-0.64,1.35,-3.02,16.26,28.2
-0.53,-0.49,1.32,42.51,31.58,58.53
-0.84,-0.77,1.69,92.5,45.99,66.53
-0.62,-0.76,1.54,15.11,7.9,-10.01
-0.64,-0.79,1.53,-32.26,-34.03,-51.76
-0.55,-0.71,1.42,-88.96,-77.67,-80.02
-0.62,-0.56,1.31,-18.1,-4.86,-16.48
-0.48,-0.56,1.28,29.88,25.11,41.87
-0.63,-0.67,1.53,102.02,30.36,101.01
-0.56,-0.61,1.32,106.6,45.5,100.59
-0.78,-0.65,1.58,78.71,46.41,57.68
-0.62,-0.66,1.39,48.01,24.93,32.17
-0.57,-0.65,1.38,0.7,-2.23,5.25
-0.61,-0.64,1.38,6.99,-11.45,3.18
-0.68,-0.68,1.51,-36.47,-48.74,-36.38
-0.49,-0.56,1.21,-49.9,-44.41,-46.75
-0.61,-0.59,1.33,-25.79,-34.7,-37.53
-0.42,-0.58,1.19,-14.13,-22.13,-28.62
-0.62,-0.63,1.38,6.5,-11.69,-3.97
-0.61,-0.63,1.36,3.08,-13.28,0.49
-0.62,-0.59,1.37,-3.26,-29.21,41.93
-0.56,-0.74,1.33,2.17,-18.83,15.87
-0.56,-0.63,1.34,2.41,-2.9,0.98
-0.59,-0.62,1.39,1.19,-6.38,11.9
-0.56,-0.65,1.35,-1.43,-12.06,15.02
-0.55,-0.65,1.36,0.82,-7.91,12.94
-0.54,-0.66,1.37,-1.92,-10.17,13.31
