accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.46,-0.7,1.39,0.12,-4.9,0.09
-0.48,-0.73,1.37,-2.14,-7.71,0.4
-0.48,-0.74,1.35,0.79,-0.87,-5.65
-0.51,-0.72,1.39,12.15,15.12,-23.35
-0.55,-0.68,1.36,-12.45,16.95,-0.83
-0.62,-0.65,1.43,8.55,37.76,11.08
-0.55,-0.74,1.47,10.8,23.24,-1.92
-0.66,-0.81,1.63,-32.41,-28.03,-45.75
-0.62,-0.87,1.61,-80.14,-23.58,-81.39
-0.44,-0.54,1.19,-85.69,-14.42,-65.89
-0.62,-0.69,1.45,-23.07,33.24,-5.4
-0.62,-0.67,1.42,25.02,18.29,42.33
-0.73,-0.75,1.58,46.14,-2.64,32.93
-0.66,-0.78,1.57,17.76,-11.07,-6.38
-0.63,-0.75,1.52,-4.33,-22.11,-41.54
-0.44,-0.71,1.4,-13.79,-29.26,-41.41
-0.62,-0.7,1.46,0.18,-7.71,-1.5
-0.25,-0.53,1.12,10.01,6.15,25.79
-0.64,-0.65,1.42,47.12,41.06,59.17
-0.84,-0.8,1.66,47.3,54.3,30.0
-0.82,-0.7,1.58,1.83,-25.59,-29.27
-0.48,-0.74,1.43,-45.96,-52.81,-69.0
-0.69,-0.71,1.49,-30.64,-30.78,-36.47
-0.65,-0.69,1.47,-4.7,6.02,1.62
-0.73,-0.54,1.58,-2.75,-49.34,98.23
-0.43,-1.0,1.32,3.36,-43.66,34.03
-0.51,-0.65,1.43,6.53,-0.51,-11.14
-0.56,-0.66,1.47,1.95,-11.37,31.58
-0.49,-0.8,1.39,2.32,3.34,-6.56
-0.55,-0.68,1.48,1.95,0.04,0.46
-0.52,-0.76,1.44,0.31,-12.53,14.31
-0.49,-0.73,1.41,0.37,-3.44,1.98
