accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.52,-0.66,1.38,4.0,4.7,-15.04
-0.56,-0.64,1.37,3.2,-5.13,-7.05
-0.56,-0.67,1.35,3.14,7.14,-22.31
-0.59,-0.61,1.37,-8.39,17.63,1.31
-0.62,-0.62,1.48,10.04,30.21,17.91
-0.62,-0.61,1.4,-1.98,20.2,5.46
-0.79,-0.72,1.63,-1.31,-14.23,-19.62
-0.57,-0.73,1.45,-52.52,-31.86,-77.67
-0.46,-0.5,1.17,-78.89,-59.27,-86.7
-0.62,-0.57,1.35,-17.06,5.06,-18.16
-0.35,-0.57,1.18,-4.61,50.96,54.9
-0.89,-0.62,1.6,40.98,19.1,53.07
-0.72,-0.68,1.52,18.52,-7.33,-1.8
-0.68,-0.6,1.42,0.7,33.81,-28.66
-0.68,-0.64,1.48,17.97,36.31,5.77
-0.74,-0.71,1.58,25.36,16.96,39.28
-0.93,-0.75,1.72,13.09,-2.2,43.61
-0.85,-0.75,1.64,-40.92,-109.14,-15.9
-0.64,-0.49,1.31,-32.14,-26.19,-31.4
-0.67,-0.61,1.43,-4.12,11.65,-6.5
-0.48,-0.45,1.83,48.25,-47.12,34.58
-0.61,-0.83,1.32,-3.88,-46.64,47.58
-0.55,-0.68,1.38,10.1,1.64,0.58
-0.55,-0.59,1.47,3.75,-6.23,14.5
-0.56,-0.72,1.4,-3.51,-14.41,24.02
-0.55,-0.69,1.41,0.46,-6.41,6.32
