accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.5,-0.65,1.33,1.02,-2.14,-1.85
-0.51,-0.65,1.31,3.65,2.07,-3.8
-0.51,-0.67,1.32,12.74,9.27,-5.39
-0.52,-0.63,1.33,13.72,16.6,-19.55
-0.58,-0.62,1.33,20.8,34.48,-28.4
-0.65,-0.58,1.36,-10.09,29.9,3.04
-0.64,-0.54,1.33,-5.14,33.14,-2.21
-0.67,-0.67,1.49,2.85,-13.98,-22.84
-0.73,-0.67,1.58,-58.42,-26.25,-78.69
-0.57,-0.55,1.32,-101.39,-60.18,-105.61
-0.62,-0.51,1.28,-76.74,23.98,-67.52
-0.74,-0.54,1.41,-26.14,32.28,-15.28
-0.84,-0.53,1.41,29.04,9.88,69.87
-0.69,-0.46,1.28,128.59,-1.47,110.58
-0.98,-0.73,1.72,91.11,93.75,66.82
-0.71,-0.72,1.52,19.58,32.59,-20.34
-0.64,-0.68,1.49,-28.58,-29.54,-69.72
-0.61,-0.55,1.31,-30.78,-51.76,-31.51
-0.67,-0.65,1.48,-33.28,-126.53,35.08
-0.66,-0.65,1.35,12.93,3.48,-3.07
-0.78,-0.49,1.36,-8.99,5.8,6.27
-0.65,-0.63,1.42,-10.39,27.95,-1.18
-0.8,-0.54,1.45,-14.78,27.52,-9.66
-0.87,-0.63,1.49,-11.0,19.47,-66.06
-0.7,-0.63,1.46,1.57,8.18,-23.21
-0.73,-0.62,1.45,3.16,-5.86,-0.93
-0.78,-0.63,1.48,2.43,-2.44,1.2
-0.82,-0.42,1.6,-23.63,-87.95,57.23
-0.6,-0.8,1.26,1.27,-48.1,34.53
-0.61,-0.61,1.41,8.41,7.63,-5.14
-0.66,-0.61,1.47,5.48,-12.15,24.95
-0.59,-0.69,1.38,3.71,-4.95,4.26
