accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.45,-0.68,1.33,1.73,-0.16,-8.57
-0.51,-0.63,1.38,5.2,3.81,-7.11
-0.47,-0.66,1.29,7.65,1.25,-21.7
-0.07,-0.57,1.69,-2.55,3.51,-8.39
-0.6,-0.57,1.33,20.28,11.44,18.77
-0.59,-0.57,1.33,9.66,6.98,6.87
-0.68,-0.64,1.47,-15.24,-15.29,-28.35
-0.55,-0.68,1.39,-45.45,-14.01,-52.46
-0.48,-0.56,1.27,-30.74,-9.5,-29.33
-0.58,-0.62,1.37,-7.61,15.35,0.15
-0.55,-0.5,1.28,44.27,5.7,50.2
-0.58,-0.57,1.32,79.24,36.71,65.89
-0.64,-0.68,1.46,27.54,35.0,9.0
-0.78,-0.66,1.52,-2.97,-15.97,-32.87
-0.64,-0.66,1.42,-60.59,-19.81,-87.0
-0.65,-0.6,1.35,-58.21,-43.92,-66.31
-0.69,-0.61,1.39,-10.66,-9.56,-15.35
-0.63,-0.41,1.23,-24.46,62.95,-3.02
-0.74,-0.55,1.34,49.94,52.15,59.85
-0.82,-0.67,1.5,27.91,33.66,15.05
-0.96,-0.6,1.49,19.24,-11.27,-18.89
-0.62,-0.62,1.39,-17.01,-47.28,-42.14
-0.77,-0.59,1.4,6.61,-32.32,6.5
-0.74,-0.43,1.45,-17.62,-80.78,99.15
-0.52,-0.81,1.27,12.47,-25.18,9.19
-0.63,-0.52,1.41,3.62,3.99,-5.28
-0.65,-0.6,1.39,-4.07,-27.44,38.67
-0.55,-0.68,1.34,-0.41,-11.88,0.76
