accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.51,-0.62,1.36,3.02,9.02,2.64
-0.5,-0.73,1.34,1.92,4.62,-10.91
-0.49,-0.67,1.31,12.73,15.18,-20.68
-0.51,-0.55,1.31,-16.08,17.44,3.0
-0.52,-0.62,1.34,-7.17,11.03,2.21
-0.62,-0.65,1.43,5.22,1.33,-5.48
-0.58,-0.77,1.48,-33.84,-5.39,-45.76
-0.55,-0.72,1.42,-43.36,-2.76,-46.56
-0.49,-0.54,1.25,-48.74,5.6,-42.35
-0.62,-0.7,1.45,0.83,4.5,-2.79
-0.56,-0.55,1.31,6.87,40.88,0.87
-0.62,-0.54,1.31,80.11,45.45,57.14
-0.72,-0.65,1.46,85.18,83.6,61.66
-0.76,-0.76,1.59,33.23,41.06,17.84
-0.66,-0.63,1.39,17.79,-64.29,-0.78
-0.76,-0.68,1.48,-52.34,-34.99,-78.11
-0.45,-0.49,1.17,-70.77,-47.5,-101.79
-0.87,-0.79,1.6,-25.85,-39.45,-64.62
-0.61,-0.56,1.36,-32.93,-2.21,-55.1
-0.67,-0.63,1.42,-7.41,-12.65,-13.23
-0.73,-0.69,1.49,-14.98,38.74,-3.4
-0.71,-0.67,1.47,12.3,-15.83,11.67
-0.74,-0.46,1.83,21.27,-94.07,55.01
-0.56,-0.73,1.35,0.34,-34.56,14.91
-0.58,-0.71,1.4,7.11,-4.72,7.03
-0.58,-0.67,1.43,5.77,1.33,-3.59
-0.57,-0.69,1.41,1.37,-9.72,8.31
-0.56,-0.68,1.42,0.64,-3.8,-0.05
-0.56,-0.7,1.42,0.03,-12.04,5.2
