accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.39,-0.69,1.31,2.54,9.02,-14.01
-0.37,-0.68,1.3,8.89,15.92,-16.82
-0.42,-0.69,1.33,19.87,15.68,-9.62
-0.43,-0.69,1.3,24.57,16.53,-13.59
-0.45,-0.66,1.33,22.74,20.38,-25.12
-0.47,-0.61,1.28,2.96,22.15,-5.47
-0.42,-0.59,1.25,17.25,11.4,0.88
-0.46,-0.61,1.29,27.2,27.39,-3.27
-0.58,-0.64,1.44,11.69,0.17,-22.99
-0.43,-0.71,1.42,-61.98,6.28,-95.13
-0.34,-0.65,1.25,-57.58,0.36,-79.57
-0.51,-0.61,1.33,2.23,19.64,-19.69
-0.47,-0.65,1.32,34.21,36.0,27.67
-0.53,-0.5,1.24,75.9,33.99,43.24
-0.55,-0.78,1.54,48.19,41.62,4.42
-0.64,-0.71,1.5,2.72,0.29,-39.77
-0.48,-0.67,1.38,-33.53,-19.36,-62.96
-0.48,-0.53,1.22,-10.04,15.55,-28.54
-0.46,-0.48,1.2,3.7,44.06,-10.35
-0.6,-0.64,1.43,54.36,36.0,16.62
-0.59,-0.67,1.43,21.21,26.17,-21.83
-0.55,-0.67,1.41,11.33,-2.33,-37.82
-0.58,-0.61,1.36,-13.03,-22.78,-55.4
-0.54,-0.71,1.42,-37.14,-30.53,-59.91
-0.45,-0.51,1.22,-54.77,-15.57,-52.71
-0.6,-0.63,1.37,-6.31,51.75,-8.46
-0.66,-0.59,1.36,45.45,28.0,22.61
-0.59,-0.7,1.44,28.05,3.59,-20.12
-0.58,-0.71,1.44,1.68,-19.91,-44.78
-0.53,-0.59,1.32,0.34,-16.18,-24.57
-0.61,-0.58,1.49,-7.23,-59.03,44.7
-0.4,-0.73,1.19,17.25,-33.15,36.46
-0.42,-0.67,1.34,19.32,-4.53,22.67
-0.38,-0.75,1.28,10.23,-2.15,10.77
-0.38,-0.69,1.31,11.63,17.63,-14.75
