accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.51,-0.63,1.34,1.36,-0.09,-3.42
-0.5,-0.64,1.35,1.12,3.08,-6.04
-0.51,-0.63,1.35,6.06,3.94,-8.3
-0.51,-0.67,1.33,4.29,5.71,-12.7
-0.52,-0.63,1.36,2.76,4.85,-20.39
-0.54,-0.6,1.37,4.29,2.84,-8.67
-0.52,-0.64,1.28,8.26,15.78,-16.36
-0.58,-0.64,1.37,13.44,26.03,-35.77
-0.63,-0.55,1.35,-5.54,-0.58,-5.62
-0.67,-0.7,1.54,-55.22,-8.7,-35.16
-0.81,-0.55,1.49,-47.29,7.9,-53.35
-0.61,-0.56,1.34,4.72,-14.19,-24.29
-0.64,-0.48,1.31,15.95,27.56,-0.31
-0.48,-0.53,1.17,63.55,31.03,49.68
-0.67,-0.58,1.5,81.38,16.63,49.8
-0.79,-0.63,1.58,26.26,16.75,13.24
-1.13,-0.71,2.06,-20.12,-1.44,-38.33
-0.48,-0.54,1.2,-83.91,-33.11,-79.84
-0.76,-0.65,1.47,-41.18,-52.03,-57.74
-0.58,-0.51,1.28,-11.15,-22.31,-29.79
-0.56,-0.56,1.32,-0.35,-1.86,-5.62
-0.64,-0.56,1.4,22.11,52.4,26.73
-0.67,-0.54,1.35,46.34,44.89,30.45
-0.74,-0.61,1.48,44.51,36.28,14.28
-0.71,-0.61,1.46,6.36,29.02,-20.51
-0.76,-0.58,1.45,-0.35,0.03,-29.42
-0.63,-0.54,1.36,-31.9,-10.71,-39.98
-0.72,-0.51,1.34,-23.18,-14.13,-25.64
-0.75,-0.55,1.42,-1.69,5.83,-4.34
-0.75,-0.53,1.41,40.48,-49.9,25.88
-0.65,-0.62,1.33,2.28,-45.44,44.43
-0.61,-0.62,1.33,5.33,-5.53,-4.21
-0.64,-0.54,1.37,3.19,1.49,-6.29
-0.64,-0.55,1.4,3.62,-6.38,1.77
-0.62,-0.56,1.36,2.52,-10.9,13.3
-0.62,-0.59,1.36,2.76,-1.92,2.99
-0.61,-0.54,1.38,2.64,-4.92,7.69
