accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.43,-0.76,1.38,-1.47,18.41,-7.51
-0.42,-0.78,1.45,1.28,28.0,-6.17
-0.53,-0.72,1.45,11.05,18.41,-10.25
-0.52,-0.76,1.38,15.26,17.19,-15.38
-0.52,-0.71,1.43,-12.39,15.67,-5.19
-0.52,-0.78,1.5,-36.5,12.62,-14.04
-0.6,-0.75,1.52,-60.06,40.2,-40.59
-0.78,-0.69,1.5,-44.37,38.62,-68.54
-0.5,-0.74,1.46,12.27,-29.07,-5.98
-0.41,-0.64,1.31,27.71,0.84,28.69
-0.83,-0.69,1.48,89.05,-32.49,83.07
-0.67,-0.82,1.62,48.16,-16.32,21.73
-0.82,-0.83,1.71,-9.77,-34.93,-33.08
-0.49,-0.75,1.43,-57.25,-54.58,-72.02
-0.55,-0.65,1.38,-54.32,-26.33,-55.85
-0.56,-0.71,1.43,-7.26,11.27,-7.33
-0.55,-0.62,1.4,43.58,11.76,52.06
-0.39,-0.64,1.26,120.12,16.52,96.37
-0.6,-0.69,1.33,100.52,44.05,70.56
-0.63,-0.69,1.47,60.55,25.31,30.64
-0.56,-0.68,1.42,17.15,5.6,6.41
-0.51,-0.63,1.31,17.46,-55.74,1.4
-0.53,-0.77,1.53,-103.88,-106.04,-51.58
-0.42,-0.68,1.35,-76.97,-89.37,-32.41
-0.37,-0.53,1.15,-52.92,15.61,-12.82
-0.49,-0.64,1.35,3.91,23.78,24.84
-0.55,-0.61,1.34,35.34,-6.31,27.04
-0.53,-0.75,1.46,21.73,-13.14,6.16
-0.66,-0.63,1.5,-9.16,-10.4,-29.97
-0.42,-0.68,1.36,-50.96,-25.78,-98.76
-0.4,-0.72,1.3,-46.33,-50.62,-70.56
-0.37,-0.6,1.21,-19.53,-40.36,-25.94
-0.53,-0.59,1.31,30.7,-14.97,28.62
-0.51,-0.67,1.39,12.21,-33.41,61.52
-0.41,-0.81,1.3,9.95,-22.05,25.51
-0.41,-0.68,1.34,3.42,3.95,-8.24
-0.43,-0.68,1.34,-2.87,-6.55,7.51
-0.42,-0.73,1.31,-2.62,-5.02,1.04
-0.42,-0.69,1.35,0.85,1.38,-1.04
