accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.58,-0.69,1.46,-0.9,-2.08,-6.59
-0.57,-0.69,1.44,-3.65,0.73,-8.97
-0.57,-0.69,1.46,0.38,3.42,-5.07
-0.61,-0.72,1.41,-2.79,5.8,-17.15
-0.62,-0.66,1.41,14.36,3.05,-17.15
-0.69,-0.64,1.5,3.8,4.82,1.46
-0.59,-0.72,1.49,-2.98,-6.1,-6.05
-0.64,-0.69,1.55,-37.28,2.01,-28.2
-0.54,-0.66,1.41,-63.89,18.37,-46.88
-0.65,-0.62,1.42,-31.91,23.56,-22.1
-0.68,-0.71,1.53,-11.09,32.53,-3.48
-0.71,-0.74,1.58,1.85,13.85,2.87
-0.82,-0.72,1.61,-9.87,-1.16,-16.67
-0.86,-0.75,1.64,-18.97,-48.95,-65.01
-0.64,-0.71,1.52,-12.38,-61.71,-51.82
-0.6,-0.62,1.41,-13.47,12.75,-19.66
-0.72,-0.6,1.5,12.34,51.39,55.23
-0.82,-0.78,1.68,109.51,10.8,102.23
-0.77,-0.82,1.72,25.04,16.48,19.04
-0.79,-0.75,1.65,-31.97,-27.41,-27.22
-0.59,-0.62,1.39,-21.84,-38.64,-44.68
-0.66,-0.63,1.44,7.77,-19.59,-28.38
-0.58,-0.61,1.35,28.88,35.52,5.25
-0.54,-0.63,1.37,46.89,64.82,51.51
-0.79,-0.68,1.54,73.38,40.89,60.67
-0.63,-0.64,1.35,57.69,18.49,45.16
-0.75,-0.65,1.56,20.83,-18.25,18.55
-0.65,-0.59,1.41,-2.98,-54.44,0.24
-0.77,-0.62,1.54,-85.62,-14.59,-58.54
-0.74,-0.65,1.51,-57.18,-21.0,-70.01
-0.54,-0.59,1.25,-73.59,-52.92,-89.91
-0.7,-0.59,1.46,-35.51,-57.74,-68.73
-0.52,-0.61,1.32,-45.15,-28.81,-52.68
-0.63,-0.65,1.44,-41.06,-15.81,-26.49
-0.66,-0.63,1.43,-36.3,53.89,-2.93
-0.63,-0.63,1.47,49.39,-28.32,43.58
-0.61,-0.6,1.51,20.4,-22.77,78.73
-0.54,-0.84,1.33,17.71,-13.43,25.63
-0.59,-0.61,1.45,6.42,8.54,-6.96
-0.55,-0.63,1.47,2.33,-6.23,19.35
