accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.75,1.65,0.02,-5.74,-4.52
-0.6,-0.73,1.69,-0.41,-1.16,-1.71
-0.6,-0.78,1.64,-5.72,3.48,1.28
-0.63,-0.77,1.62,-10.91,-2.44,-5.13
-0.63,-0.79,1.58,-8.1,1.77,-21.67
-0.64,-0.76,1.64,-6.39,-5.31,-30.88
-0.62,-0.8,1.7,-3.22,-14.96,8.06
-0.55,-0.77,1.63,-3.83,-7.69,18.86
-0.71,-0.63,1.73,-0.47,-2.26,21.18
-0.55,-0.7,1.52,37.13,16.17,22.34
-0.69,-0.67,1.54,44.57,-15.63,1.65
-0.64,-0.74,1.86,22.29,-111.21,-32.23
-0.55,-0.77,1.41,-7.55,-49.93,-36.19
-0.6,-0.7,1.28,45.18,15.38,-13.86
-0.47,-0.77,1.52,49.82,27.52,6.29
-0.55,-0.81,1.67,-1.75,2.32,25.7
-0.78,-0.61,1.75,-54.37,-27.29,13.24
-0.56,-0.71,1.39,-47.16,-44.38,-7.75
-0.51,-0.8,1.51,-18.6,-4.4,-3.05
-0.55,-0.78,1.57,-18.17,3.29,4.7
-0.61,-0.75,1.58,-5.29,13.36,-0.86
-0.58,-0.7,1.51,5.63,20.63,-12.15
-0.59,-0.63,1.53,0.02,-14.53,24.54
-0.6,-0.82,1.6,25.04,2.56,9.95
-0.54,-0.79,1.56,-3.83,5.8,-0.73
