accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.62,-0.72,1.61,2.98,-3.47,-4.21
-0.63,-0.71,1.64,4.2,2.03,0.18
-0.61,-0.73,1.6,-5.57,-1.82,-3.85
-0.64,-0.73,1.63,4.87,4.59,-4.88
-0.64,-0.73,1.6,0.6,-0.35,-7.69
-0.61,-0.72,1.59,-1.36,-2.43,-17.7
-0.66,-0.67,1.63,0.96,-4.14,-6.84
-0.63,-0.72,1.6,2.61,-0.41,-4.88
-0.66,-0.7,1.64,5.91,-3.16,-5.92
-0.64,-0.7,1.6,-1.66,-4.38,-5.86
-0.65,-0.75,1.66,-1.48,-4.32,-1.34
-0.63,-0.71,1.59,-0.68,-2.86,-3.72
-0.64,-0.69,1.57,3.28,0.99,-3.3
-0.67,-0.7,1.63,3.04,4.22,0.43
-0.66,-0.69,1.62,13.05,2.94,5.8
-0.7,-0.7,1.57,25.25,-0.96,11.84
-0.68,-0.71,1.59,24.95,-0.72,-3.3
-0.66,-0.67,1.61,31.6,-0.96,-11.11
-0.67,-0.68,1.57,6.94,-12.19,-15.81
-0.64,-0.67,1.59,-5.38,-8.1,-12.21
-0.65,-0.68,1.59,-10.76,-20.19,-2.02
-0.63,-0.71,1.54,-27.17,-6.7,-0.31
-0.63,-0.69,1.48,-17.71,-4.63,-0.0
-0.69,-0.66,1.51,-16.74,-10.48,-1.16
-0.65,-0.65,1.58,2.67,-0.54,-3.72
-0.65,-0.69,1.58,4.32,0.87,-3.36
-0.67,-0.66,1.56,16.83,7.76,-8.61
-0.67,-0.67,1.56,19.64,3.43,-6.23
-0.65,-0.67,1.57,11.03,0.99,-3.66
-0.67,-0.67,1.55,3.77,-6.21,-0.86
-0.66,-0.68,1.57,12.86,-4.14,-0.98
-0.63,-0.66,1.52,4.26,-7.56,-2.14
-0.67,-0.66,1.61,-6.3,-10.79,-3.11
-0.51,-0.66,1.49,-6.24,4.04,-3.85
-0.61,-0.68,1.52,-8.5,-8.04,6.53
-0.66,-0.67,1.58,-2.09,5.75,8.3
-0.65,-0.7,1.55,-5.08,10.21,4.88
-0.64,-0.7,1.57,2.12,3.0,3.97
-0.65,-0.7,1.6,0.9,-1.27,-1.1
-0.64,-0.68,1.58,3.04,-4.14,-3.18
-0.64,-0.71,1.58,1.94,1.66,-1.41
-0.64,-0.69,1.57,3.59,-2.92,-2.14
-0.64,-0.69,1.56,3.04,-1.15,-1.1
