accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.6,-0.76,1.64,0.26,-2.55,-0.9
-0.61,-0.77,1.64,1.91,-2.98,-1.02
-0.6,-0.76,1.63,0.75,-3.04,0.38
-0.61,-0.76,1.65,0.69,-3.53,-1.33
-0.61,-0.75,1.65,0.63,-4.57,0.2
-0.61,-0.76,1.65,-1.39,-3.16,-3.4
-0.6,-0.76,1.66,-5.35,-5.18,-5.6
-0.59,-0.78,1.66,-10.97,-7.62,-5.84
-0.62,-0.77,1.63,-27.33,-1.88,-4.56
-0.64,-0.76,1.71,-9.63,-9.02,-1.63
-0.62,-0.76,1.68,-1.27,-1.15,-2.18
-0.63,-0.76,1.64,3.92,2.82,-3.59
-0.67,-0.74,1.67,15.82,6.36,-3.89
-0.63,-0.74,1.68,33.22,2.27,-4.5
-0.62,-0.73,1.65,22.17,1.78,-0.72
-0.65,-0.77,1.64,24.55,-2.98,-4.87
-0.62,-0.76,1.66,12.1,-15.86,-3.83
-0.65,-0.76,1.73,-11.03,-6.76,-8.35
-0.65,-0.75,1.76,-25.25,-11.46,-3.83
-0.67,-0.68,1.69,-37.95,-14.39,-8.16
-0.67,-0.72,1.65,-22.69,-15.31,-2.98
-0.66,-0.74,1.65,-8.22,-10.55,-4.56
-0.66,-0.72,1.65,5.33,-3.28,-7.86
-0.65,-0.73,1.65,6.3,-11.65,0.26
-0.64,-0.77,1.64,14.42,0.93,-3.95
-0.82,-0.74,1.63,10.45,47.25,-5.05
-0.66,-0.74,1.69,25.59,3.31,2.03
-0.66,-0.76,1.68,8.01,6.48,5.51
-0.64,-0.7,1.6,2.27,7.03,11.92
-0.71,-0.7,1.7,-9.14,-0.29,24.43
-0.69,-0.77,1.68,6.73,0.32,11.06
-0.63,-0.72,1.66,4.04,-13.05,6.06
-0.62,-0.76,1.65,5.2,-8.41,-0.05
-0.64,-0.76,1.64,2.58,-4.44,0.69
-0.64,-0.75,1.67,-0.17,-5.12,-1.21
-0.62,-0.74,1.64,1.79,-5.3,0.08
